sample_id,precursor,acf_old,edge_old,seg_old,acf_new,edge_new,seg_new,z,panel
C03-L,L,0.1860833333333333,0.1407397397193211,False,0.15631,0.1506972750603864,False,-3.051570071035589,P01
C24-L,L,0.3275066666666666,0.109413246573107,True,0.26796,0.1171120169082125,False,0.6412815480530064,P02
C03-M,M,0.2977333333333333,0.1273253916449086,False,0.2307433333333333,0.136526268115942,False,-1.081153645540005,P03
C21-S,S,0.4168266666666666,0.0850017338446475,True,0.4019399999999999,0.0892752679649758,True,4.327295443093666,P04
C07-S,S,0.3423933333333333,0.1196187071638381,False,0.3051766666666666,0.1282273739432367,False,0.5381257413231865,P05
C14-M,M,0.2232999999999999,0.129365633839208,False,0.1860833333333333,0.1377075785024154,False,-1.825609215055366,P06
C12-L,L,0.24563,0.1272952193483464,False,0.1935266666666666,0.1358238035929951,False,-1.6006616707933317,P07
C16-M,M,0.3051766666666666,0.1261847938424717,False,0.24563,0.1350491583635265,False,-0.7682209031684442,P08
C19-M,M,0.31262,0.0977599407093124,True,0.2828466666666666,0.1035953540157004,False,1.6741481882231284,P09
C26-L,L,0.42427,0.083214343994778,True,0.3944966666666666,0.0901659684480676,True,4.161731161169643,P10
C12-M,M,0.2381866666666666,0.1331214473183203,False,0.17864,0.142253547705314,False,-2.2097490393047563,P11
C01-M,M,0.2009699999999999,0.1398902408344212,False,0.17864,0.1498466749698067,False,-2.6637982589390745,P12
C01-S,S,0.3200633333333333,0.1254555591818973,False,0.2754033333333333,0.1340674064009661,False,-0.26030383639930443,P13
C18-S,S,0.3870533333333333,0.1031276347639251,True,0.3498366666666666,0.1089938103864734,True,2.362058998897408,P14
C09-L,L,0.1860833333333333,0.1388108375489556,False,0.1488666666666666,0.1482469051932367,False,-3.0173470542053282,P15
C18-L,L,0.3051766666666666,0.1060840948651001,False,0.26796,0.1130562160326087,False,0.8838078693450981,P16
C26-S,S,0.42427,0.0869506092254134,True,0.37961,0.0918459390096618,True,3.8366678711470916,P17
C15-S,S,0.3200633333333333,0.1165921283453002,False,0.2754033333333333,0.1244598241243961,False,0.31420454246698426,P18
