sample_id,precursor,combo,sec_hmaxima_rel,bin_method,sec_min_diam_um,n_sec,D_sec,circularity,convexity,aspect_ratio,solid_frac,area_weighted_solidity
C15-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,956,6.68544179298547,0.5908713166631449,0.8612884951803974,1.4467060765954676,0.5170360620471014,0.8400997396787915
C15-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,1040,5.7705403125311365,0.5508628828102744,0.8323042596850355,1.492064288465397,0.5087263171799518,0.7860431278196266
C15-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,2765,3.9998532032338936,0.6979163570132044,0.870488322717622,1.4412586535082712,0.49364196482487926,0.8130075222672634
C16-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,858,7.1578163229970535,0.6008841350991907,0.8666666666666666,1.4637995068008944,0.5251014304045893,0.8426761494187305
C16-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,1085,5.795242564285844,0.5656025627478849,0.836962919364332,1.5133896802566407,0.5194581257548309,0.7998191440984637
C16-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,2522,4.166988158324634,0.6656723772969608,0.858461691415099,1.452686708176656,0.5074657495471014,0.7951938972927164
C17-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,778,7.917942081283142,0.577891379160983,0.861505742012035,1.4339389925567225,0.5347075973731884,0.8338013642341875
C17-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,845,6.628218699397555,0.48917409598378203,0.8158602150537635,1.4967297678678073,0.5194633152173913,0.7778835483396271
C17-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,2437,4.312981472867047,0.6514469665240173,0.8529707955689828,1.4845879751417508,0.5008288987016908,0.8013357706297087
C18-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,716,7.9818296975333745,0.5381483794694455,0.8456455661087285,1.490033162219534,0.5264006831219806,0.8302747418673816
C18-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,939,5.860604509712605,0.5219091742732227,0.819227608874281,1.526169616700212,0.5161415874094203,0.7824834165962126
C18-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,2284,4.5737388825394785,0.6186231326576763,0.8384803614004266,1.4673733970489686,0.5191151494565217,0.7965602710611425
C19-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,627,8.184082755430348,0.4863620694008533,0.8265895953757226,1.5215334197469192,0.5220240791062802,0.7980200948866338
C19-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,773,7.131157696586606,0.46501089768163173,0.8056589724497394,1.5410607493683435,0.5132189764492753,0.7638674827101568
C19-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,2054,4.787374292236132,0.5807827265579064,0.8268278750952018,1.5548132497907845,0.5011563066123189,0.7800577502833816
C20-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C20-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C20-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C21-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,634,8.398482311468427,0.4509190718814534,0.8047337810355382,1.5298254517155847,0.5223618659420289,0.7874939776392095
C21-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,942,6.711502242588525,0.43995990425969705,0.7830221639917021,1.5587461477725815,0.5164685235507246,0.7485358942002444
C21-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,1873,4.995052504385949,0.5658066748897393,0.8239795918367347,1.5793223090672985,0.4980728223128019,0.7712760867501698
C22-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C22-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C22-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C23-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C23-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C23-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,0,,,,,,
C24-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,757,7.692220741379599,0.5390982114200881,0.8490813648293963,1.4741006840181987,0.533978713768116,0.8257196347454144
C24-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,896,6.192444214783213,0.5165451061453581,0.8222347063662446,1.5194779442951796,0.5157160514794686,0.7784473703473734
C24-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,2568,4.253693684128203,0.6537274728714633,0.8524184149184149,1.4953324024031072,0.5101765360809178,0.7963038560351797
C25-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,751,7.8636334397876935,0.5641747458386439,0.8562874251497006,1.4642322315697207,0.5347896852355073,0.8352338784510299
C25-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,1096,5.882227954612795,0.5745353068387593,0.8447206417311819,1.4870237397020092,0.5252420176630435,0.8030538558949822
C25-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,2236,4.53890407072968,0.6196530738381282,0.8409971811134602,1.4626821260722087,0.5217004453502415,0.7913998191549467
C26-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,699,8.082607132621263,0.46014088080927024,0.8097560975609757,1.5211783124140232,0.5138063292572465,0.7923437416597903
C26-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,641,7.721053798391122,0.4497945956682526,0.7988708539167254,1.5268289895283342,0.49259746754227046,0.7757889737890256
C26-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,1886,4.879321291024226,0.5629291420728064,0.8186121391561806,1.56750915233967,0.49835871452294683,0.7730435777928503
C27-L,L,h0.12_otsu_d1.0,0.12,otsu,1.0,725,8.015563124518007,0.5548791187565405,0.8498168498168499,1.4555319251616747,0.5352831559480676,0.8264223763984831
C27-M,M,h0.12_otsu_d1.0,0.12,otsu,1.0,916,6.339355332550247,0.5047746310068438,0.8173495408682433,1.474289025774263,0.5203818500905797,0.7832363443297242
