sample_id,precursor,Lbar_um,Lbar_sd,n_img,cv,Theta
C01-L,L,0.5800492326915544,0.1318928235355316,3,0.2273821187962275,4.174725607225732
C01-M,M,0.4768912220972063,0.0861459415565392,3,0.1806406525532143,4.174725607225732
C01-S,S,0.6541206779333979,0.0582892777218917,3,0.0891108929716891,4.174725607225732
C03-L,L,0.4347957922717416,0.0140634127286177,3,0.0323448685074402,8.188518536743857
C03-M,M,0.4420687240533716,0.0201661061553901,3,0.0456175817426872,8.188518536743857
C03-S,S,0.7174583086545264,0.0484693114134169,3,0.0675569727588952,8.188518536743857
C04-L,L,0.4395838379288219,0.0194494357440016,3,0.0442451110933495,4.078166000601167
C04-M,M,0.4012518811149767,0.0257169906410319,3,0.0640918880419225,4.078166000601167
C04-S,S,0.6923934069353707,0.1030978642304215,3,0.1489007018231831,4.078166000601167
C07-L,L,0.4459811249568952,0.0413801420176459,3,0.0927845141913695,4.054026098945026
C07-M,M,0.477283506440808,0.0605062959223265,3,0.1267722330770096,4.054026098945026
C07-S,S,0.8160622452255698,0.0232894978127588,3,0.028538874269721,4.054026098945026
C09-L,L,0.3994648151691498,0.0095898932978774,3,0.0240068535042735,8.06781902846315
C09-M,M,0.4484395577440563,0.0318619729705932,3,0.0710507635206844,8.06781902846315
C09-S,S,0.6637414073487119,0.0669473214547174,3,0.1008635602864311,8.06781902846315
C12-L,L,0.4372131765920651,0.0269093252283453,3,0.061547379331279,20.43596685712156
C12-M,M,0.462704001508039,0.0178445721335327,3,0.0385658478754754,20.43596685712156
C12-S,S,0.619148706507731,0.0800860339657991,3,0.1293486251752335,20.43596685712156
C14-L,L,0.43657867558622,0.0351704831851004,3,0.0805593244742771,15.174386742848624
C14-M,M,0.4455724439088784,0.0332961350905711,3,0.0747266478116864,15.174386742848624
C14-S,S,0.6260115566928784,0.0524218532739156,3,0.0837394337428083,15.174386742848624
C15-L,L,0.4465342314181791,0.0251426886566846,3,0.0563062961082114,20.174386742848625
C15-M,M,0.4953670725806369,0.027202236792103,3,0.0549132921782463,20.174386742848625
C15-S,S,0.6445710618454594,0.0713706827295604,3,0.1107258562387525,20.174386742848625
C16-L,L,0.4629365446562408,0.0636832259804891,3,0.1375636179852207,10.108991714280393
C16-M,M,0.5008822533154519,0.0084840825295788,3,0.0169382773564462,10.108991714280393
C16-S,S,0.6415353738135486,0.0788135003872454,3,0.1228513712638256,10.108991714280393
C17-L,L,0.7506020595663604,0.1542238358902296,3,0.2054668434820551,15.10899171428039
C17-M,M,0.6187462028084603,0.0648214472427018,3,0.1047625778525674,15.10899171428039
C17-S,S,0.7353521397706345,0.0455929983940722,3,0.0620015852653848,15.10899171428039
C18-L,L,0.5246370409630587,0.0308558276200771,3,0.0588136658506539,20.10899171428039
C18-M,M,0.5661344161569866,0.0241220941646173,3,0.04260842209234,20.10899171428039
C18-S,S,0.7288834828346861,0.1105615126876205,3,0.1516861271950325,20.10899171428039
C19-L,L,0.8252976419887701,0.1519750408395012,3,0.1841457349536074,24.21446407057823
