sample_id,condition_id,precursor,T_C,beta,t_hold,precursor_D50,bimodal,blend_ratio,D10,D50,D90,Span,D10_selfcalc,D50_selfcalc,D90_selfcalc,Span_selfcalc,D_value_source,B_bimodal,peak1_um,peak2_um,w_small,separation,bimodal_r2,note,n_modes,mode_positions_um,D_sec,aspect_ratio,circularity,convexity,D_pri_sem,n_sec,n_pri,D_pri_sem_classic,n_pri_classic,primary_segmentable,acf_scale_um,edge_density,xrd_instrument,two_theta_offset_applied,zero_offset_hits,hydrate_index,resolution_ratio,D_XRD_reliable,D_XRD,D_XRD_003,D_XRD_104,D_XRD_n_peaks,D_XRD_WH,microstrain_WH,wh_r2,wh_n_peaks,lattice_a,lattice_c,c_a_ratio,zero_shift,compaction_density,hier_size_ratio,T_K,inv_T_K,Theta,t_eff,M_D,M_D_agg,M_B,dRho_M,M_B_note
C04-M,C04,M,850.0,5.0,10.0,9.7,1,0.3,0.352,2.33,6.48,2.631,0.3105137614678899,2.055061425061425,5.72355731225296,2.6340057210811967,instrument,0.262054758568459,1.371258501474617,2.3135352914105933,0.3928683640114975,0.3335147120178781,0.9989752302484388,ok,2.0,"[0.276, 2.13]",9.387252839225006,1.5575841827166472,0.3752497956842075,0.7689573459715641,,459,0,,0,False,0.1638,0.1461,1,0.0200000000000013,5,0.0,2.3786009268277737,True,48.76822425576293,45.19514672287914,52.34130178864671,2,55.04259365663852,0.0002454535383971,0.0692046902384176,7,2.98268751680092,16.000195784749096,5.3643553656301535,-0.072663179899443,3.455,,1123.15,0.0008903530249744023,4.078166000601167,10.157891236997601,0.16036655211912945,0.6984891534528155,0.16197916874360038,0.14200000000000035,computed
C04-L,C04,L,850.0,5.0,10.0,12.4,0,0.0,0.475,2.95,8.08,2.575,0.4187499999999998,2.6055,7.1337106918239,2.5772253662728457,instrument,0.3147756180220534,0.8824706784768589,3.036175931282315,0.2073781525108221,0.7589411281056395,0.9992818417710178,ok,2.0,"[0.276, 2.42]",10.238051716608435,1.418106979023306,0.5309670970352959,0.8574332909783989,,447,0,,0,False,0.201,0.1389,1,0.0200000000000013,5,0.1381741409735914,2.48362269283653,True,46.06812125681388,42.44797420302768,49.68826831060009,2,56.39624875180006,0.0005896848305777,0.2986803797016615,7,2.982479143476924,16.002060528217502,5.365355383361564,-0.076059444512745,3.4,,1123.15,0.0008903530249744023,4.078166000601167,10.157891236997601,0.16036655211912945,0.6984891534528155,,,
C05-S,C05,S,850.0,5.0,15.0,3.67,0,1.0,,,,,,,,,,,,,,,,,,,3.8912374721731418,1.4100155750747905,0.7189860447394287,0.8751770538243626,,3162,0,,0,False,0.2531,0.1329,2,0.1400000000000014,5,0.0,1.8269390719058287,True,49.47405172937121,52.490896296231895,46.45720716251052,2,65.81053135926607,0.0006620323459019,0.6067248212064614,7,2.9816120423625367,15.9962731917659,5.364974706464812,-0.083257030118552,3.35,,1123.15,0.0008903530249744023,6.085062465360228,15.157891236997601,,0.5937085732050141,,,
C05-M,C05,M,850.0,5.0,15.0,9.7,1,0.3,,,,,,,,,,,,,,,,,,,9.846078657768498,1.5804859506636704,0.3413827270468627,0.7478152309612984,,431,0,,0,False,0.1786,0.1449,2,0.1700000000000014,5,10.046732605558557,2.507313534595464,True,36.05680415393443,34.89892455069058,37.21468375717828,2,34.391505963338886,0.0003082973770083,0.0801553151436218,7,2.981392100616123,16.01228203436651,5.370740075100311,-0.0556036881576926,3.45,,1123.15,0.0008903530249744023,6.085062465360228,15.157891236997601,,0.5937085732050141,,0.09300000000000042,no_data
C05-L,C05,L,850.0,5.0,15.0,12.4,0,0.0,,,,,,,,,,,,,,,,,,,9.074313316252915,1.48259197130894,0.4796625454940836,0.8247322297955209,,539,0,,0,False,0.1563,0.1469,2,0.1100000000000014,5,2.0720732695739748,2.156650868479921,True,39.64556748310973,42.00096930554067,37.2901656606788,2,48.55806235978111,0.000846331565216,0.4815276349998867,7,2.981723801124498,15.997941447102916,5.365333114042826,-0.0752513366253356,3.36,,1123.15,0.0008903530249744023,6.085062465360228,15.157891236997601,,0.5937085732050141,,,
C06-S,C06,S,850.0,5.0,20.0,3.67,0,1.0,,,,,,,,,,,,,,,,,,,4.879321291024226,1.4938848894570405,0.5858451899641998,0.8294573643410853,,1923,0,,0,False,0.2828,0.1315,2,0.2300000000000015,5,13.225756389838,2.973341892621938,True,29.21242074047324,28.65043041854218,29.7744110624043,2,24.368393993179275,0.0,0.0837531033070784,7,2.9806510699278115,16.013978808496415,5.3726445775768905,-0.0783431031755589,3.2,,1123.15,0.0008903530249744023,8.091958930119292,20.1578912369976,,0.5559293761634535,,,
C06-M,C06,M,850.0,5.0,20.0,9.7,1,0.3,,,,,,,,,,,,,,,,,,,10.186763881077844,1.5331691304435158,0.3505673312117298,0.755672514619883,,412,0,,0,False,0.1638,0.1446,2,0.1600000000000014,5,27.565469689592216,2.260767760467438,True,38.98795923551228,39.55640248973308,38.41951598129147,2,38.23027324748378,0.0008793250978374,0.142147825868858,7,2.984152889137323,16.03979963704696,5.374992580116713,-0.0544954733648038,3.51,,1123.15,0.0008903530249744023,8.091958930119292,20.1578912369976,,0.5559293761634535,,0.121,no_data
C06-L,C06,L,850.0,5.0,20.0,12.4,0,0.0,,,,,,,,,,,,,,,,,,,9.732584744931176,1.492506012236443,0.4819705492755332,0.8314720812182741,,469,0,,0,False,0.1489,0.1448,2,0.0800000000000014,5,8.490561787377606,2.2769925557815887,True,39.776165215323104,39.23343314061885,40.31889729002735,2,43.30322322533964,0.0005318872729747,0.3566389043799057,7,2.9823487035706058,15.998177150207598,5.364287928857494,-0.0544382870368624,3.47,,1123.15,0.0008903530249744023,8.091958930119292,20.1578912369976,,0.5559293761634535,,,
C07-S,C07,S,850.0,8.0,10.0,3.67,0,1.0,0.295,1.71,2.82,1.475,0.2601441441441441,1.5045922746781115,2.480299003322259,1.475585709525917,instrument,1.6127159331247,0.2468244134738955,1.6604731466270473,0.1769956956221429,4.5558055167838285,0.9999644864859164,ok,2.0,"[0.276, 1.65]",4.0156942680121945,1.4139719276818934,0.7035404000758467,0.8712871287128713,,2909,0,,0,False,0.3052,0.1282,1,0.0200000000000013,5,0.0,2.239813027618484,True,51.258439299854565,46.1537741734512,56.36310442625793,2,58.58950495895359,0.000329913247794,0.1580960351588358,7,2.982580001681569,16.005652001454493,5.366378099642108,-0.0659223697226721,3.14,,1123.15,0.0008903530249744023,4.054026098945026,10.0986820231235,0.11798396334478811,0.6193578980147645,,,
C07-M,C07,M,850.0,8.0,10.0,9.7,1,0.3,0.348,2.34,7.74,3.162,0.3063361344537815,2.060344827586207,6.806721311475406,3.154998663324303,instrument,0.2391869995066789,1.5768296782340487,2.367960196613364,0.4658687781373608,0.2567106991618946,0.9987418437884032,ok,2.0,"[0.276, 1.88]",9.887901758142648,1.5847891733264703,0.3315885899325831,0.7470300489168413,,425,0,,0,False,0.201,0.1371,1,1.3322676295501878e-15,5,0.0,2.5207441643387902,True,44.62646785790687,40.43006913391375,48.82286658189999,2,51.24541206959799,0.0004179010263908,0.1556464792356102,7,2.9814085527399565,16.01256289315128,5.370804641462342,-0.0547798630711506,3.395,,1123.15,0.0008903530249744023,4.054026098945026,10.0986820231235,0.11798396334478811,0.6193578980147645,0.14784433439031228,0.07299999999999995,computed
C07-L,C07,L,850.0,8.0,10.0,12.4,0,0.0,0.385,2.74,8.48,2.95,0.3106610878661088,2.085901856763926,5.790241379310345,2.626959784169938,instrument,0.7450050489087303,0.2411163492751444,2.403888384734688,0.109900036951376,3.3894667807907517,0.999491302076631,ok,2.0,"[0.276, 2.13]",9.422688717681089,1.5083897324004438,0.42299084584042,0.8039309233650653,,494,0,,0,False,0.1638,0.1438,1,0.0200000000000013,5,0.2992416161486479,2.480070113323412,True,46.19371591044056,42.61238012861341,49.77505169226772,2,53.54114082932514,0.0004685187079831,0.3049446890520941,7,2.9827097515826027,16.008186158157077,5.36699427413722,-0.059348840751425,3.4,,1123.15,0.0008903530249744023,4.054026098945026,10.0986820231235,0.11798396334478811,0.6193578980147645,,,
C08-S,C08,S,850.0,8.0,15.0,3.67,0,1.0,,,,,,,,,,,,,,,,,,,3.935851422566431,1.443691507998985,0.6939689557199944,0.8629441624365483,,2905,0,,0,False,0.268,0.1329,2,0.1600000000000014,5,86.83737927468322,2.495136870236373,True,32.664025793741104,35.06430841840254,30.263743169079664,2,26.74502666547452,0.0,0.0084692518495667,7,2.976894693969362,16.08836325495201,5.404411277141935,-0.0583107732819758,3.29,,1123.15,0.0008903530249744023,6.060922563704088,15.0986820231235,,0.6549986038675383,,,
C08-M,C08,M,850.0,8.0,15.0,9.7,1,0.3,,,,,,,,,,,,,,,,,,,8.195652056556362,1.5714107488690772,0.3716921096851193,0.7630949480711952,,580,0,,0,False,0.2307,0.1372,2,0.2100000000000015,5,4.822109425235716,2.431062821145323,True,37.78297121864796,36.20585153038191,39.360090906914,2,43.40933934037872,0.0005943307946313,0.4625323365311239,7,2.9792055337818413,15.994587773538418,5.368742636979023,-0.1001543695963036,3.26,,1123.15,0.0008903530249744023,6.060922563704088,15.0986820231235,,0.6549986038675383,,-0.17000000000000037,no_data
C08-L,C08,L,850.0,8.0,15.0,12.4,0,0.0,,,,,,,,,,,,,,,,,,,9.65398923433004,1.4834717123263017,0.4346442203478686,0.8182828563489859,,491,0,,0,False,0.2159,0.1367,2,0.1400000000000014,5,6.834843106959524,3.2455080064963013,True,27.549363624369853,23.02032956689937,32.078397681840336,2,22.90523019162996,0.0,0.5557479322620958,7,2.981725784683805,16.01095137510962,5.369692765630187,-0.0191494272118009,3.49,,1123.15,0.0008903530249744023,6.060922563704088,15.0986820231235,,0.6549986038675383,,,
C09-S,C09,S,850.0,8.0,20.0,3.67,0,1.0,0.886,1.93,4.27,1.751,0.7800609756097561,1.7022208436724566,3.7599232736572894,1.750573263818477,instrument,,1.65,,,,,unimodal_by_modecount,1.0,[1.65],3.9998532032338936,1.4358065010019376,0.6949377015008613,0.8689490361060815,,2600,0,,0,False,0.2903,0.1287,1,0.0600000000000013,5,0.0,2.103692864013948,True,55.50452587369766,49.97695912503052,61.03209262236481,2,68.68148720641149,0.000478598814496,0.1877043929436729,7,2.9829503257112107,16.00162551179185,5.364362045813371,-0.0742958594651831,3.14,,1123.15,0.0008903530249744023,8.06781902846315,20.0986820231235,0.20962199312714774,0.640866769464864,,,
C09-M,C09,M,850.0,8.0,20.0,9.7,1,0.3,1.15,3.2,6.96,1.813,1.012748299319728,2.8230672268907564,6.135094339622642,1.81446123263048,instrument,,3.55,,,,,unimodal_by_modecount,1.0,[3.55],10.040816527558595,1.513005736826081,0.4176427334040242,0.8101767215112736,,389,0,,0,False,0.1935,0.1449,1,0.0200000000000013,5,0.0,2.261163349547461,True,50.93858789595886,46.1771478987292,55.70002789318852,2,57.71817253034897,0.0002730721910503,0.1628597502007386,7,2.9827698329833168,15.998969723125454,5.363796276269682,-0.0755647540990789,3.4,,1123.15,0.0008903530249744023,8.06781902846315,20.0986820231235,0.20962199312714774,0.640866769464864,0.0,0.12000000000000055,erased_endpoint
C09-L,C09,L,850.0,8.0,20.0,12.4,0,0.0,1.22,3.76,8.55,1.95,1.0781694915254236,3.315909752547308,7.539907407407407,1.948707413076615,instrument,,4.03,,,,,unimodal_by_modecount,1.0,[4.03],9.594620100662157,1.4624294467534549,0.4860111914298262,0.8391363214113506,,496,0,,0,False,0.1489,0.1482,1,0.0200000000000013,5,0.3029729433925319,2.4062562828205616,True,47.56547522436375,43.51806637110421,51.61288407762329,2,52.98661377172894,0.000335985348482,0.0898528106861807,7,2.983042413919766,16.00271905451127,5.364563031299122,-0.0715896620192466,3.34,,1123.15,0.0008903530249744023,8.06781902846315,20.0986820231235,0.20962199312714774,0.640866769464864,,,
C10-S,C10,S,900.0,2.0,10.0,3.67,0,1.0,0.891,1.93,4.07,1.647,0.7850303030303031,1.6997966507177031,3.577428571428571,1.6427837219347603,instrument,,1.88,,,,,unimodal_by_modecount,1.0,[1.88],3.967981355043056,1.4556435788968156,0.6829112386332447,0.8641975308641975,,2859,0,,0,False,0.268,0.1292,2,0.3500000000000016,5,37.25124746953194,3.047374893898495,True,28.39336594181189,22.40172893924664,34.38500294437714,2,,0.0,0.7777573404860028,7,2.9821583539878094,16.05113897314615,5.382389889417577,-0.0175525890992074,3.17,,1173.15,0.0008524059156970548,10.435966857121558,10.428712568679504,0.10767468499427264,0.6716583540691667,,,
C10-M,C10,M,900.0,2.0,10.0,9.7,1,0.3,0.923,2.24,5.21,1.907,0.8143003194888179,1.9824759284731772,4.578723897911834,1.8988495771155327,instrument,,2.13,,,,,unimodal_by_modecount,1.0,[2.13],10.769934351879687,1.5671189114534412,0.3244152633804004,0.7527472527472527,,373,0,,0,False,0.201,0.137,2,0.1600000000000014,5,0.0,1.6991300583391766,True,55.14697482280969,58.4314476006453,51.86250204497408,2,68.83318253846637,0.0004509116186144,0.5565896004807805,7,2.983381317474658,15.986485538759249,5.358512317926333,-0.0738186598380456,3.42,,1173.15,0.0008524059156970548,10.435966857121558,10.428712568679504,0.10767468499427264,0.6716583540691667,0.0,0.1030000000000002,erased_endpoint
C10-L,C10,L,900.0,2.0,10.0,12.4,0,0.0,0.97,2.87,7.56,2.297,0.854431906614786,2.5285008517887566,6.652425068119894,2.293055648924694,instrument,,3.12,,,,,unimodal_by_modecount,1.0,[3.12],9.831558786066882,1.4731371438619845,0.4690646534716028,0.832893122534953,,506,0,,0,False,0.2084,0.1344,2,0.0400000000000013,5,8.115347885138284,2.4992893013079382,True,35.71195740045752,35.03849837563762,36.38541642527742,2,33.945873161096515,0.000173463420018,0.0222450215831129,7,2.9835202572289097,16.014299811879873,5.367585412928933,-0.0479183895348259,3.38,,1173.15,0.0008524059156970548,10.435966857121558,10.428712568679504,0.10767468499427264,0.6716583540691667,,,
C11-S,C11,S,900.0,2.0,15.0,3.67,0,1.0,0.963,2.09,4.33,1.609,0.8487365269461078,1.848009592326139,3.814575163398693,1.6048827066527316,instrument,,2.13,,,,,unimodal_by_modecount,1.0,[2.13],4.0550261985540725,1.4475054959753453,0.6762511885183883,0.8589743589743589,,2861,0,,0,False,0.3349,0.1215,2,0.4200000000000017,5,61.1566268468768,3.5100393677288357,True,,23.838031461561748,,2,,0.0,0.053274243904248,7,2.9777817007299587,16.03832750589469,5.3859984101464295,-0.1251568345632781,3.17,,1173.15,0.0008524059156970548,15.435966857121558,15.428712568679504,0.10423825887743414,0.6957531017204539,,,
C11-M,C11,M,900.0,2.0,15.0,9.7,1,0.3,0.988,2.46,5.64,1.888,0.8693561151079137,2.169078014184397,4.972823529411766,1.8918025942219563,instrument,,2.42,,,,,unimodal_by_modecount,1.0,[2.42],9.197559665162274,1.6321812159454938,0.3778060760492182,0.7695229777085391,,476,0,,0,False,0.2382,0.1312,2,0.0700000000000014,5,4.249087572620903,2.0499454800450287,True,44.34199650371709,44.84748058341487,43.83651242401931,2,51.80076069920189,0.0004943163911389,0.3792491566413991,7,2.982142183383565,15.985155635084348,5.360292921026136,-0.0891901919558421,3.42,,1173.15,0.0008524059156970548,15.435966857121558,15.428712568679504,0.10423825887743414,0.6957531017204539,0.0,0.08899999999999997,erased_endpoint
C11-L,C11,L,900.0,2.0,15.0,12.4,0,0.0,1.19,3.0,6.1,1.633,1.0533780918727915,2.64739847715736,5.376035634743875,1.6327944509179178,instrument,,3.12,,,,,unimodal_by_modecount,1.0,[3.12],10.128950776573635,1.4652918199285618,0.4433810900739104,0.8239545689210118,,443,0,,0,False,0.1861,0.1386,2,0.1900000000000015,5,17.225045145053514,3.2106230127891844,True,25.18751343207331,26.29977661771283,24.07525024643379,2,33.36207355053892,0.001792701595586,0.317137333324985,7,2.987078868194035,16.036672991229107,5.368680807857195,-0.0053997633607185,3.4,,1173.15,0.0008524059156970548,15.435966857121558,15.428712568679504,0.10423825887743414,0.6957531017204539,,,
C12-S,C12,S,900.0,2.0,20.0,3.67,0,1.0,1.06,2.48,5.08,1.616,0.9387289719626168,2.188716049382716,4.472760617760619,1.6146597210701248,instrument,,2.42,,,,,unimodal_by_modecount,1.0,[2.42],4.646043170628641,1.4834659281020697,0.610513687492284,0.8408450704225352,,2223,0,,0,False,0.3052,0.1263,1,0.0400000000000013,5,0.1257063097029098,1.9043781311155628,True,63.62196732812889,57.54754883910535,69.69638581715243,2,80.33803292218808,0.0003047723734393,0.1805502927695869,7,2.983182039534054,15.995109665586822,5.361761184404661,-0.078451069918538,3.1,,1173.15,0.0008524059156970548,20.435966857121556,20.428712568679504,0.15234822451317298,0.5713840683941988,,,
C12-M,C12,M,900.0,2.0,20.0,9.7,1,0.3,1.15,3.04,7.07,1.952,1.0097955974842767,2.6756069364161847,6.236384180790961,1.9534216749741973,instrument,,3.12,,,,,unimodal_by_modecount,1.0,[3.12],8.603854503709423,1.599656085254699,0.3624917306542036,0.7482494164721574,,533,0,,0,False,0.1786,0.1423,1,0.0200000000000013,5,0.0,2.105888422330922,True,55.09086566414818,49.23184553665662,60.94988579163975,2,63.62559860738829,0.0003045984718608,0.1579303315933681,7,2.983097936748777,15.9977548499931,5.362799073043091,-0.0742076645329288,3.36,,1173.15,0.0008524059156970548,20.435966857121556,20.428712568679504,0.15234822451317298,0.5713840683941988,0.0,0.09899999999999975,erased_endpoint
C12-L,C12,L,900.0,2.0,20.0,12.4,0,0.0,1.36,3.81,9.12,2.036,1.20265625,3.355748251748252,8.030000000000005,2.0345220313958734,instrument,,4.03,,,,,unimodal_by_modecount,1.0,[4.03],9.634226087709996,1.451523287884354,0.4909921450971725,0.8288636913401064,,464,0,,0,False,0.1935,0.1358,1,0.0200000000000013,5,0.0,2.1302037366178546,True,54.969167356526086,49.8805303874842,60.05780432556797,2,60.81052308532062,0.0002205895599825,0.0968276206485327,7,2.9835375314204384,15.998748684169229,5.362342023749355,-0.0627328593629118,3.33,,1173.15,0.0008524059156970548,20.435966857121556,20.428712568679504,0.15234822451317298,0.5713840683941988,,,
C13-S,C13,S,900.0,5.0,10.0,3.67,0,1.0,1.02,2.14,4.38,1.567,0.8981689814814815,1.890793465577596,3.855454545454546,1.564044734557869,instrument,,2.13,,,,,unimodal_by_modecount,1.0,[2.13],4.117175815757948,1.4687305677854263,0.6655288099050644,0.8573097463284379,1.0196942015707045,2756,204,1.630209405188778,131,True,0.3126,0.117,2,0.2200000000000015,5,0.0,1.5598562012691954,True,67.37416416709587,67.03578873874689,67.71253959544484,2,89.21931140553936,0.0004004272267847,0.5179045672150236,7,2.98025989942075,15.986665836238515,5.3641851300773205,-0.1012095183507216,3.12,2.0986684014713552,1173.15,0.0008524059156970548,10.174386742848625,10.171485027471801,0.10309278350515462,0.7285141770749258,,,
C13-M,C13,M,900.0,5.0,10.0,9.7,1,0.3,1.23,3.17,6.73,1.732,1.0897243816254416,2.795086092715232,5.928040201005026,1.7310077968580555,instrument,,3.55,,,,,unimodal_by_modecount,1.0,[3.55],11.077957875901715,1.5821354661515497,0.3286829153153,0.7578155916106054,,343,0,,0,False,0.1861,0.1297,2,0.3600000000000016,5,3.277934505985706,1.988843835333276,True,51.72183270443053,45.84440181354231,57.59926359531876,2,55.04845009995598,0.0001357925444397,0.051756587233074,7,2.9780972136065387,15.98095748209237,5.366163807238211,-0.114190141969953,3.34,,1173.15,0.0008524059156970548,10.174386742848625,10.171485027471801,0.10309278350515462,0.7285141770749258,0.0,0.07299999999999995,erased_endpoint
C13-L,C13,L,900.0,5.0,10.0,12.4,0,0.0,1.22,3.04,6.25,1.654,1.0828480565371024,2.676807692307692,5.513405639913234,1.655164693417524,instrument,,3.12,,,,,unimodal_by_modecount,1.0,[3.12],10.47710458162205,1.4724771334619722,0.4771004551737191,0.8299180327868851,,425,0,,0,False,0.2382,0.1235,2,0.1400000000000014,5,17.154438382317956,2.137513221327665,True,47.310523233041394,42.47257652673457,52.14846993934821,2,35.448205721195755,0.0,0.0132145116321444,7,2.981996671453985,16.025064074364877,5.373937612932094,-0.0305863821265769,3.33,,1173.15,0.0008524059156970548,10.174386742848625,10.171485027471801,0.10309278350515462,0.7285141770749258,,,
