sample_id,pixel_um,rA_um,circumfA_um,P_auto_A,rB_um,circumfB_um,P_auto_B,rC_um,circumfC_um,P_auto_C,P_auto_total,L_total_um,Lbar_auto_um,valid_frac_A,LeffA_um,valid_frac_B,LeffB_um,valid_frac_C,LeffC_um
C21-S,0.02233,7.087542000000001,44.532339758418225,21,4.9612794,31.172637830892754,33,2.8350168000000004,17.81293590336729,24,78,80.64027414303767,1.033849668500483,0.818,36.4163208374465,0.847,26.411017402223884,1.0,17.81293590336729
C26-L,0.02233,7.087542000000001,44.532339758418225,9,4.9612794,31.172637830892754,10,2.8350168000000004,17.81293590336729,7,26,70.09501608824425,2.6959621572401633,0.729,32.46407568388688,0.636,19.81800450099007,1.0,17.81293590336729
C14-M,0.02233,2.5674259285714287,16.13161287167191,63,1.7971981499999998,11.292129010170333,31,1.0269703714285714,6.452645148668762,23,117,33.876387030511005,0.28954176949154703,1.0,16.13161287167191,1.0,11.292129010170333,1.0,6.452645148668762
C07-S,0.02233,3.4708705679999996,21.808122955979663,46,2.4296093975999997,15.265686069185762,28,1.3883482271999998,8.723249182391866,9,83,44.06331243255691,0.5308832823199628,0.92,20.07437718097928,1.0,15.265686069185762,1.0,8.723249182391866
C03-L,0.02233,3.682666053846154,23.13887324077518,78,2.5778662376923074,16.197211268542624,54,1.4730664215384615,9.255549296310072,29,161,48.59163380562787,0.30181139009706753,1.0,23.13887324077518,1.0,16.197211268542624,1.0,9.255549296310072
