sample_id,precursor,d_um,D_f,solidity,elongation,roughness_ratio,n_scales,seg_config_hash
C01-L,L,8.291975509002073,1.0447811240873879,0.9312123817712812,0.18609697085630494,1.028649838719367,5,4127c40a82c2
C01-L,L,14.213265546677315,1.0483436549492964,0.7213783722511902,0.4955899397415032,1.4002659529435635,8,4127c40a82c2
C01-L,L,14.344430079259627,1.028008447538958,0.929718875502008,0.16676548290686155,1.072654306615516,7,4127c40a82c2
C01-L,L,5.833459368372237,,0.8933333333333333,0.12627624155862316,1.081719719186325,0,4127c40a82c2
C01-L,L,14.087640785882098,1.0452607188873597,0.6061663757998836,0.6609001880393832,1.4427419252611842,8,4127c40a82c2
C01-L,L,7.516900225017875,1.0555641013865906,0.8971774193548387,0.09248188647900402,1.0622989547573412,6,4127c40a82c2
C01-L,L,13.855897941636451,1.0814309405993636,0.5609348914858097,0.5716720276864914,1.9755954653214112,8,4127c40a82c2
C01-L,L,6.125443280890184,,0.9191290824261276,0.376312776375777,1.0491550939304009,0,4127c40a82c2
C01-L,L,15.833880000796277,1.0524960238253842,0.7804347826086957,0.4668319218727188,1.4033330130225505,8,4127c40a82c2
C01-L,L,6.58497505665575,,0.926729986431479,0.03110047338986477,1.0513507899247863,0,4127c40a82c2
C01-L,L,5.662255619291985,,0.8737024221453287,0.08104547321814548,1.039833802178076,0,4127c40a82c2
C01-L,L,8.753816074083055,1.0752713646540148,0.7534332084893882,0.19243197872169304,1.409767734351575,7,4127c40a82c2
C01-L,L,8.15299400961574,1.077618209572687,0.790188679245283,0.41271808242961916,1.2141436660144052,7,4127c40a82c2
C01-L,L,5.651032108515939,,0.9095840867992767,0.15585534078968555,1.047902342836481,0,4127c40a82c2
C01-L,L,6.414034407382075,1.0357246333817964,0.9204545454545454,0.5402925008682326,1.026455733429755,5,4127c40a82c2
C01-L,L,11.422198295884723,1.0719850442362888,0.5684647302904564,0.5391233271574497,1.4121901086451862,8,4127c40a82c2
C01-L,L,10.012322902794777,1.059458135692094,0.7024021352313167,0.5843807550444212,1.3415245473979593,8,4127c40a82c2
C01-L,L,5.838898492508035,,0.9306759098786829,0.4561793283488128,1.0178598926336184,0,4127c40a82c2
C01-L,L,15.069653009564034,1.0749764174936798,0.6070943652410048,0.2016975230576339,1.7576067806123643,8,4127c40a82c2
C01-L,L,8.102220379446242,1.0350656331136878,0.9038461538461539,0.39854277773710556,1.0286253153215466,6,4127c40a82c2
C01-L,L,6.228226349022512,,0.953198127925117,0.38057453587734646,1.0,0,4127c40a82c2
C01-L,L,14.579294443099288,1.0689817383601445,0.7760778859527121,0.3855275880172052,1.4077138128158142,8,4127c40a82c2
C01-L,L,13.27558027865735,1.0494124136994742,0.7110655737704918,0.33768483617674105,1.4835337887046314,8,4127c40a82c2
C01-L,L,10.122680920957952,1.0714987992842262,0.7729885057471264,0.31142626827480735,1.183115989421378,7,4127c40a82c2
C01-L,L,7.3287340820165845,1.0453424150646702,0.8703703703703703,0.4059884653537784,1.1227268774075354,6,4127c40a82c2
C01-L,L,16.547542739140095,1.0445688993156663,0.5391923990498813,0.3888349985532694,1.7782181193270927,8,4127c40a82c2
