target,term,SS,df,MS,F,p_parametric,eta2,omega2,perm_p
D_f,precursor,0.00029922747282284945,2.0,0.00014961373641142472,38.978419328188096,8.799695656508172e-11,0.45940417038253967,0.44499566913585165,0.0001999600079984003
D_f,T_C,3.209249543090209e-05,2.0,1.6046247715451045e-05,4.180480931088292,0.021198649354022953,0.04927163304843842,0.037265906931861055,0.14377124575084982
D_f,beta,2.6664788492780644e-06,2.0,1.3332394246390322e-06,0.34734488025582194,0.7083227965305545,0.004093847038972941,0.0,0.854629074185163
D_f,t_hold,5.039104473780753e-05,2.0,2.5195522368903767e-05,6.5641140956953,0.003019856511532067,0.07736540994745905,0.06519509550320932,0.03979204159168166
D_f,precursor:T_C,2.367362583299837e-05,4.0,5.918406458249592e-06,1.5419047356048339,0.2051430204188936,0.03634613604544932,0.012699067770278608,0.5840831833633273
D_f,precursor:beta,8.661645452434641e-06,4.0,2.1654113631086602e-06,0.5641481467795727,0.6898041778209189,0.013298230960160608,0.0,0.9080183963207359
D_f,precursor:t_hold,1.5018614746509229e-05,4.0,3.7546536866273073e-06,0.9781886967051976,0.4283034118780725,0.023058090832454418,0.0,0.7756448710257948
D_f,T_C:beta,1.4129080312841324e-05,4.0,3.532270078210331e-06,0.9202517602413172,0.4599616619986868,0.021692387928671113,0.0,0.7936412717456509
D_f,T_C:t_hold,1.8674606494073487e-05,4.0,4.668651623518372e-06,1.2163098458974735,0.31625674896121686,0.02867113778924078,0.005069033746982512,0.6962607478504299
D_f,beta:t_hold,2.5611742699993556e-06,4.0,6.402935674998389e-07,0.16681376834623607,0.9542181115431596,0.00393217283698662,0.0,0.9888022395520896
D_f,Residual,0.00018424193365262909,48.0,3.838373617763106e-06,,,0.28286678318962705,,
solidity,precursor,0.05904123861378707,2.0,0.029520619306893536,112.88246739219603,7.123968660931742e-19,0.6594646462720215,0.651718913406497,0.0001999600079984003
solidity,T_C,0.008485356156661794,2.0,0.004242678078330897,16.223371361349997,4.145591971708311e-06,0.09477769314680981,0.08867661996784525,0.020395920815836834
solidity,beta,0.00017310433790385105,2.0,8.655216895192552e-05,0.33096264979637713,0.719857927868306,0.001933499256522344,0.0,0.9280143971205759
solidity,t_hold,0.0021186801005015354,2.0,0.0010593400502507677,4.050759146904332,0.02368094014804325,0.023664724112250395,0.017770768580887632,0.395120975804839
solidity,precursor:T_C,0.0011841277307382825,4.0,0.0002960319326845706,1.131982179673021,0.35268990769906744,0.013226185517555564,0.0015376007471126264,0.9024195160967806
solidity,precursor:beta,0.0012701294687431641,4.0,0.00031753236718579103,1.2141966505576245,0.31712800311807343,0.014186787074429483,0.0024954045367516302,0.8994201159768046
solidity,precursor:t_hold,0.0011556237078664822,4.0,0.00028890592696662054,1.1047333913013875,0.36520891929209265,0.01290780812910945,0.001220150637848352,0.910617876424715
solidity,T_C:beta,0.0016087169104679333,4.0,0.0004021792276169833,1.5378736833170474,0.20626353264099226,0.017968659757517682,0.006266262455806141,0.8514297140571886
solidity,T_C:t_hold,0.0016797597834212752,4.0,0.0004199399458553188,1.6057880341834168,0.18813412002146163,0.018762177376427925,0.007057468942094718,0.8372325534893021
solidity,beta:t_hold,0.00025951770456345,4.0,6.48794261408625e-05,0.24808929750535721,0.9094230560289158,0.00289869852427686,0.0,0.9942011597680463
solidity,Residual,0.012552788395453263,48.0,0.0002615164249052763,,,0.14020912083307902,,
elongation,precursor,0.10661271243490589,2.0,0.053306356217452944,218.32729648796274,7.932566278692593e-25,0.8349766208720927,0.8295658879914692,0.0001999600079984003
elongation,T_C,4.607468530437586e-05,2.0,2.303734265218793e-05,0.09435424021483323,0.9101287085352453,0.0003608508231762895,0.0,0.9858028394321136
elongation,beta,0.0005849601172691621,2.0,0.00029248005863458104,1.1979130634598092,0.3106848268483973,0.004581330039422509,0.0007554592952075039,0.8390321935612878
elongation,t_hold,0.0008295890357388203,2.0,0.00041479451786941013,1.6988774343350417,0.1937002255705973,0.0064972312771487675,0.0026677039137762456,0.7796440711857628
elongation,precursor:T_C,0.0021917768258052917,4.0,0.0005479442064513229,2.2442197461921287,0.07808460667304926,0.017165705345261243,0.009498689536807105,0.8594281143771246
elongation,precursor:beta,0.0012215214883575243,4.0,0.00030538037208938107,1.250748986983534,0.30235233217389357,0.009566794253491646,0.0019142814493298419,0.9458108378324335
elongation,precursor:t_hold,0.0008652448229948817,4.0,0.00021631120574872043,0.8859476449397079,0.47952903144075587,0.006776482672949977,0.0,0.9746050789842031
elongation,T_C:beta,0.0015084356033252533,4.0,0.0003771089008313133,1.5445281321459243,0.20441687303559297,0.01181386754076527,0.004157066054562454,0.9182163567286543
elongation,T_C:t_hold,0.001978061623326255,4.0,0.0004945154058315637,2.025390953124348,0.10575259203406702,0.015491916230254015,0.007828094954598887,0.8794241151769646
elongation,beta:t_hold,0.00012550946288847342,4.0,3.1377365722118356e-05,0.12851254362760683,0.9713391790017463,0.000982973463639007,0.0,0.9994001199760048
elongation,Residual,0.011719584035516206,48.0,0.00024415800073992094,,,0.09178622748179856,,
roughness,precursor,0.3439896272303713,2.0,0.17199481361518565,173.1891221025403,1.1165519055548744e-22,0.6878830711646721,0.6825557023533314,0.0001999600079984003
roughness,T_C,0.07524379931032854,2.0,0.03762189965516427,37.88314098636567,1.340705608376427e-10,0.15046655962397337,0.14620434725228418,0.0021995600879824036
roughness,beta,0.0012571959498473007,2.0,0.0006285979749236503,0.6329628733807918,0.535389865704669,0.0025140403738325096,0.0,0.9080183963207359
roughness,t_hold,0.00682725878843371,2.0,0.003413629394216855,3.4373331703511636,0.040259119763131644,0.013652608599964004,0.009661560693522852,0.5880823835232953
roughness,precursor:T_C,0.009034954876540269,4.0,0.002258738719135067,2.2744230922058457,0.07487837973611303,0.018067383479986578,0.010103597000487085,0.8342331533693261
roughness,precursor:beta,0.0009277567942547194,4.0,0.00023193919856367984,0.2335497526703554,0.9181250991851625,0.0018552541774709674,0.0,0.9974005198960207
roughness,precursor:t_hold,0.005719105513037448,4.0,0.001429776378259362,1.4397045500901409,0.23538634687779533,0.011436611901056947,0.0034859675727483596,0.9248150369926015
roughness,T_C:beta,0.006860503642457161,4.0,0.0017151259106142902,1.727035510612529,0.15947048152892618,0.013719089012382828,0.005763920827547174,0.9008198360327935
roughness,T_C:t_hold,0.0012598226801401324,4.0,0.0003149556700350331,0.31714267917767447,0.8651206331248504,0.0025192930999553944,0.0,0.9954009198160368
roughness,beta:t_hold,0.0012808947226687906,4.0,0.00032022368066719764,0.3224472701559391,0.8615534136058445,0.002561431293037067,0.0,0.9964007198560288
roughness,Residual,0.047668993025098416,48.0,0.000993104021356217,,,0.09532465727366822,,
