label,R2,MAE,n_eval,time_s,passed,baseline_R2,baseline_MAE
shared_trunk_7target(baseline_arch),-6.4600455119640845,37.324547768331435,51,50.84033131599426,False,0.5025265503212235,8.781812059896
"solo_trunk_default(n=3,w=0.5)",-3.897200836985781,30.004309692327105,51,38.47148370742798,False,0.5025265503212235,8.781812059896
"solo_trunk(n=2,w_arr=0)",0.1997924526749587,10.493875518043103,51,53.316535234451294,False,0.5025265503212235,8.781812059896
"solo_trunk(n=2,w_arr=0.05)",-0.9578297245932712,17.12387738773784,51,149.68165040016174,False,0.5025265503212235,8.781812059896
"solo_trunk(n=2,w_arr=0.1)",-1.4613704478100495,17.541213115531832,51,152.67405319213867,False,0.5025265503212235,8.781812059896
"solo_trunk(n=2,w_arr=0.5)",-1.6899034096110217,18.014684335410042,51,46.497010469436646,False,0.5025265503212235,8.781812059896
"solo_trunk(n=3,w_arr=0)",0.1997924526749587,10.493875518043103,51,54.034154415130615,False,0.5025265503212235,8.781812059896
"solo_trunk(n=3,w_arr=0.05)",-1.045507608101984,17.213828196394104,51,90.7034842967987,False,0.5025265503212235,8.781812059896
"solo_trunk(n=3,w_arr=0.1)",-1.4377581712140195,18.31779450749785,51,62.71518325805664,False,0.5025265503212235,8.781812059896
"solo_trunk(n=3,w_arr=0.5)",-3.897200836985781,30.004309692327105,51,39.295435667037964,False,0.5025265503212235,8.781812059896
"solo_trunk(n=4,w_arr=0)",0.1997924526749587,10.493875518043103,51,54.095417499542236,False,0.5025265503212235,8.781812059896
"solo_trunk(n=4,w_arr=0.05)",-1.5626875656607826,18.754024736894298,51,53.54446864128113,False,0.5025265503212235,8.781812059896
"solo_trunk(n=4,w_arr=0.1)",-2.7070283225940543,23.745490489340046,51,41.14463424682617,False,0.5025265503212235,8.781812059896
"solo_trunk(n=4,w_arr=0.5)",-6.767627807348753,37.10631806311927,51,36.91641712188721,False,0.5025265503212235,8.781812059896
