target,n,n_cond,intercept,ln_Theta,M,L,r2_insample
compaction_density,81,27,3.3171875334223495,0.0001754160194701938,0.0708035714285714,0.07669642857142858,0.6742193598991107
D_sec,81,27,6.445694064675444,0.7598308324679215,1.8445058399520713,1.9678775565604345,0.9299950755853175
D_XRD,51,17,25.68022146703545,14.482066105098866,-1.6046973943824285,-0.4769741454711044,0.6502104470781154
