sample_id,xrd_instrument,two_theta_offset_applied,zero_offset_hits,hydrate_index,resolution_ratio,D_XRD_reliable,D_XRD,D_XRD_003,D_XRD_104,D_XRD_n_peaks,D_XRD_WH,microstrain_WH,wh_r2,wh_n_peaks,lattice_a,lattice_c,c_a_ratio,zero_shift
C01-L,1,0.02000000000000135,5,0.6670406471423571,2.707553312063746,True,42.427323605099346,39.95663392437353,44.898013285825165,2,54.88541111911412,0.000938579887877644,0.5413646730205512,7,2.981944182792096,16.00734556636044,5.3680902743699965,-0.06391559905318293
C01-M,1,0.02000000000000135,5,0.0,2.6710225503313136,True,42.869502305919944,40.12887982408729,45.610124787752596,2,49.815812100961814,0.00044628795725514865,0.29839895159606156,7,2.982037700668647,16.010872807425926,5.369104758077301,-0.06247614269925453
C01-S,1,0.02000000000000135,5,0.0,2.4678941987149843,True,46.93374761102706,43.797821402893966,50.06967381916016,2,51.84689957686875,0.0001521449945122431,0.05269666450236454,7,2.981612802102768,16.00651927426297,5.368409762318719,-0.06461763963505048
C02-L,2,0.05000000000000138,5,0.0,2.079357824627938,True,42.14562865430021,44.02225471985553,40.26900258874489,2,54.722186937363354,0.0007141920051285136,0.49716617189940304,7,2.9820301020888826,15.986408743947173,5.3609146107374475,-0.08740729422446579
C02-M,2,0.12000000000000144,5,9.843853095454476,2.8005071363052063,True,33.84403450150018,30.66820678800344,37.01986221499692,2,30.563850055035456,0.00017103550239735144,0.021607061186284304,7,2.9807505731744683,16.00984802450809,5.371079408183346,-0.07234509903522666
C02-S,2,0.27000000000000157,5,1.3335217617633186,2.7627294385716725,True,34.395758798976914,30.347044448292696,38.444473149661135,2,30.371158284730296,0.0,0.38888929524663374,7,2.980643518968187,15.994942333157184,5.366271488478493,-0.08227552619523384
C03-L,1,0.03000000000000136,5,0.11004001763488754,2.417440522328299,True,48.656997723471896,46.103103765675435,51.21089168126836,2,60.314913681953044,0.0003223909826741575,0.18765010344902144,7,2.9854118212344716,15.98558984864935,5.354567746716863,-0.07336240167747615
C03-M,1,0.03000000000000136,5,0.0,2.400975088414886,True,47.377128786709974,43.00895406403072,51.745303509389224,2,48.373325335157475,1.601614590082534e-05,0.0005656786438755779,7,2.98560910785683,15.98822036621851,5.355094986863632,-0.0758807410891335
C03-S,1,0.010000000000001341,5,0.1756928372444598,2.119580491591105,True,55.82958825986819,51.21793905023089,60.441237469505495,2,65.50239343880577,0.00028494183314169483,0.1455755130922386,7,2.985062201702867,15.98447411146913,5.354821116407752,-0.06976701710745487
C04-L,1,0.02000000000000135,5,0.1381741409735914,2.48362269283653,True,46.06812125681388,42.447974203027684,49.68826831060009,2,56.39624875180006,0.0005896848305777462,0.2986803797016615,7,2.982479143476924,16.002060528217502,5.365355383361564,-0.07605944451274503
