target,term,SS,df,MS,F,p_parametric,eta2,omega2,perm_p
D_XRD,precursor,126.99555057804427,2,63.49777528902214,0.6744757566413697,0.5169797339440121,0.010845092152016832,0.0,0.7580483903219356
D_XRD,T_C,6345.498600599857,2,3172.7493002999286,33.70106236341065,2.1295721607972004e-08,0.5418891981708285,0.521616296705859,0.0001999600079984003
D_XRD,beta,198.3168787753945,2,99.15843938769726,1.0532646715412894,0.3613419598754131,0.0169357494481491,0.0008496274648773697,0.6716656668666267
D_XRD,t_hold,694.76972119032,2,347.38486059516,3.6899350509400426,0.03691917632437451,0.05933154048660606,0.04290728980170934,0.23255348930213957
D_XRD,precursor:T_C,137.1493712277767,4,34.287342806944174,0.36420144450216435,0.8321172897094289,0.011712202221150526,0.0,0.969006198760248
D_XRD,precursor:beta,18.820646410806038,4,4.7051616027015095,0.049978403458344096,0.9950562065523847,0.0016072346137849993,0.0,0.9998000399920016
D_XRD,precursor:t_hold,41.03047758097143,4,10.257619395242857,0.10895681890357076,0.9784632433233481,0.0035038968560826603,0.0,0.9964007198560288
D_XRD,Residual,2824.316871160055,30,94.14389570533517,,,0.2411893691929246,,
lattice_c,precursor,1.4087972386296465e-05,2,7.0439861931482325e-06,0.09526422159832863,0.9094065934592963,0.003386009055535829,0.0,0.9238152369526095
lattice_c,T_C,0.0008641462471750368,2,0.0004320731235875184,5.843439873882955,0.007191640642592242,0.20769539703869228,0.16914604437612796,0.004199160167966407
lattice_c,beta,0.00028578003825177286,2,0.00014289001912588643,1.9324720510438693,0.162391530306742,0.06868652002421062,0.032564450686350534,0.1841631673665267
lattice_c,t_hold,0.000433856941512568,2,0.000216928470756284,2.9337822849815898,0.06859468856329919,0.10427643471232166,0.06753291724607263,0.07578484303139373
lattice_c,precursor:T_C,1.0030811148706633e-05,4,2.5077027871766582e-06,0.033914653928867555,0.9976682326270899,0.002410880462608515,0.0,0.9988002399520096
lattice_c,precursor:beta,2.4143994159769104e-05,4,6.035998539942276e-06,0.08163200306036553,0.9874155098934374,0.00580294882898147,0.0,0.9924015196960608
lattice_c,precursor:t_hold,8.769568476526019e-06,4,2.1923921191315047e-06,0.029650331920089527,0.9982063302742088,0.00210774392939201,0.0,0.9992001599680064
lattice_c,Residual,0.00221824712624487,30,7.3941570874829e-05,,,0.5331501688765021,,
