target,baseline_R2,baseline_MAE,baseline_n_folds,PINN_R2,PINN_MAE,PINN_n_eval,beats_baseline
D_XRD,0.5025265503212235,8.781812059896,17,0.386578315146539,9.765960708002517,51,False
lattice_c,0.1333416100413598,0.006937377046793484,17,-0.00935058852355164,0.007279459194694391,51,False
c_a_ratio,-0.1751022654676626,0.004344687883720611,17,-0.27687111498505623,0.004579427737868913,51,False
D_sec,0.9194374782098907,0.6108115329444925,27,0.8937303356416344,0.7234458395277834,81,False
circularity,0.839223666552053,0.042599734774050144,27,0.8428830493543774,0.04264912430776604,81,False
convexity,0.7457246161417878,0.017778159117994168,27,0.7312830474065514,0.018270040132798017,81,False
compaction_density,0.6318995574944649,0.06272133043610079,27,0.6667708672353471,0.05934599852856297,81,True
