target,ss_type,term,SS,df,MS,F,eta2,omega2,perm_p,p_parametric
D_XRD,I_orderA,precursor,126.99555057799444,2.0,63.49777528899722,0.8802444916498858,0.01084509215201251,0.0,0.7644471105778844,
D_XRD,I_orderA,T_C,7760.431695335748,2.0,3880.215847667874,53.789894382552916,0.6627208314957959,0.6464181739718107,0.0001999600079984003,
D_XRD,I_orderA,beta,98.02502599556465,2.0,49.01251299778232,0.6794410417035833,0.008371084146545926,0.0,0.8146370725854829,
D_XRD,I_orderA,t_hold,694.7697211903287,2.0,347.38486059516435,4.815658637326189,0.05933154048660645,0.04672316771399614,0.2393521295740852,
D_XRD,I_orderA,Residual,3029.733883524983,42.0,72.13652103630912,,0.2587314517190393,,,
D_XRD,I_orderB,t_hold,1874.663186158985,2.0,937.3315930794924,12.99385636587183,0.16009139623669993,0.14686611560013713,0.014797040591881624,
D_XRD,I_orderB,beta,333.06465576271876,2.0,166.53232788135938,2.308571656755351,0.028442861721416173,0.016023606615712917,0.4807038592281544,
D_XRD,I_orderB,T_C,6345.49860059988,2.0,3172.74930029994,43.982566038955106,0.5418891981708271,0.5263263390939267,0.0001999600079984003,
D_XRD,I_orderB,precursor,126.99555057805264,2.0,63.49777528902632,0.8802444916502893,0.01084509215201748,0.0,0.7564487102579485,
D_XRD,I_orderB,Residual,3029.733883524983,42.0,72.13652103630912,,0.2587314517190393,,,
D_XRD,II,precursor,126.99555057804322,2.0,63.49777528902161,0.8802444916502223,0.012216614411507119,0.0,,0.4221916194526278
D_XRD,II,T_C,6345.498600599851,2.0,3172.7493002999254,43.98256603895482,0.6104190997199332,0.5924293761951284,,4.9873654943748056e-11
D_XRD,II,beta,198.31687877539423,2.0,99.15843938769711,1.3745941440367857,0.019077525379944078,0.005163036913080896,,0.2640868014147626
D_XRD,II,t_hold,694.769721190318,2.0,347.384860595159,4.815658637326106,0.06683489106460003,0.05259128234075124,,0.01309356128478767
D_XRD,II,Residual,3029.733883524989,42.0,72.13652103630926,,0.2914518694240155,,,
D_XRD,III,precursor,126.99555057804322,2.0,63.49777528902161,0.8802444916502223,0.012216614411507119,0.0,,0.4221916194526278
D_XRD,III,T_C,6345.498600599851,2.0,3172.7493002999254,43.98256603895482,0.6104190997199332,0.5924293761951284,,4.9873654943748056e-11
D_XRD,III,beta,198.31687877539423,2.0,99.15843938769711,1.3745941440367857,0.019077525379944078,0.005163036913080896,,0.2640868014147626
D_XRD,III,t_hold,694.769721190318,2.0,347.384860595159,4.815658637326106,0.06683489106460003,0.05259128234075124,,0.01309356128478767
D_XRD,III,Residual,3029.733883524989,42.0,72.13652103630926,,0.2914518694240155,,,
lattice_c,I_orderA,precursor,1.4087974705034867e-05,2.0,7.0439873525174335e-06,0.13065989585570914,0.003386009609460844,0.0,0.9184163167366527,
lattice_c,I_orderA,T_C,0.0011832666896225419,2.0,0.0005916333448112709,10.97428875850813,0.2843951998426684,0.255174139858807,0.0001999600079984003,
lattice_c,I_orderA,beta,0.0002651745435287012,2.0,0.0001325872717643506,2.4593796458665316,0.06373404065324469,0.0373355890206995,0.19916016796640673,
lattice_c,I_orderA,t_hold,0.0004338569415267557,2.0,0.00021692847076337785,4.023836213725094,0.10427643461170244,0.0773593810639409,0.07018596280743851,
lattice_c,I_orderA,Residual,0.0022642561198154,42.0,5.3910859995604756e-05,,0.5442083152829236,,,
lattice_c,I_orderB,t_hold,0.0007366836325672921,2.0,0.00036834181628364604,6.832423300570031,0.1770600750804797,0.14921200260281473,0.012397520495900819,
lattice_c,I_orderB,beta,0.0002814682939060731,2.0,0.00014073414695303654,2.610497158669915,0.06765020294818551,0.04120165732960343,0.1867626474705059,
lattice_c,I_orderB,T_C,0.0008641462482046336,2.0,0.0004320731241023168,8.014584144835327,0.20769539707895032,0.17945544994557175,0.004999000199960008,
lattice_c,I_orderB,precursor,1.4087972886045463e-05,2.0,7.043986443022732e-06,0.1306598788804005,0.0033860091722712742,0.0,0.9226154769046191,
lattice_c,I_orderB,Residual,0.0022642561216343893,42.0,5.391086003891403e-05,,0.5442083157201132,,,
lattice_c,II,precursor,1.4087972386291977e-05,2.0,7.043986193145989e-06,0.13065987441780616,0.0036477234504280684,0.0,,0.8778714780907236
lattice_c,II,T_C,0.0008641462471755462,2.0,0.0004320731235877731,8.014584145866118,0.2237487726401851,0.19313512608260502,,0.001126320092062648
lattice_c,II,beta,0.00028578003825026186,2.0,0.00014289001912513093,2.6504867332951325,0.07399549904030495,0.04544345847222892,,0.08240687496327721
lattice_c,II,t_hold,0.00043385694150950636,2.0,0.00021692847075475318,4.023836215641962,0.11233626076774066,0.08325639505020832,,0.02518683070668714
lattice_c,II,Residual,0.0022642561186467344,42.0,5.391085996777939e-05,,0.5862717441013412,,,
lattice_c,III,precursor,1.4087972386291977e-05,2.0,7.043986193145989e-06,0.13065987441780616,0.0036477234504280684,0.0,,0.8778714780907236
lattice_c,III,T_C,0.0008641462471755462,2.0,0.0004320731235877731,8.014584145866118,0.2237487726401851,0.19313512608260502,,0.001126320092062648
lattice_c,III,beta,0.00028578003825026186,2.0,0.00014289001912513093,2.6504867332951325,0.07399549904030495,0.04544345847222892,,0.08240687496327721
lattice_c,III,t_hold,0.00043385694150950636,2.0,0.00021692847075475318,4.023836215641962,0.11233626076774066,0.08325639505020832,,0.02518683070668714
lattice_c,III,Residual,0.0022642561186467344,42.0,5.391085996777939e-05,,0.5862717441013412,,,
