sample_id,condition_id,precursor,T_C,beta,t_hold,Theta,D_XRD,lattice_a,lattice_c,c0_a,c0_c,c0_c_a_ratio,c0_z_or_k,c0_resid_rms_deg,c1_a,c1_c,c1_c_a_ratio,c1_z_or_k,c1_resid_rms_deg,c2_a,c2_c,c2_c_a_ratio,c2_z_or_k,c2_resid_rms_deg
C01-L,C01,L,850.0,2.0,10.0,4.174725607225732,42.42732360509935,2.981944182792096,16.00734556636044,2.981944182261086,16.007345563006826,5.36809027420128,-0.06391561116079422,0.007964272262655735,2.9848765116091416,16.028591859143855,5.369934667917927,0.0,0.02487696282220846,2.9824753300706437,16.010154981394656,5.3680762486023434,-0.060242844361799615,0.00834883961439599
C01-M,C01,M,850.0,2.0,10.0,4.174725607225732,42.86950230591994,2.982037700668647,16.010872807425926,2.982037700668647,16.010872807425926,5.369104758077301,-0.06247614269925453,0.008131829824140733,2.9849040950325323,16.031650963698958,5.370909903061468,0.0,0.024806377363204634,2.9825574400349844,16.013623586414106,5.3690914285380105,-0.05887295361690081,0.008511224346888405
C01-S,C01,S,850.0,2.0,10.0,4.174725607225732,46.93374761102706,2.981612802102768,16.00651927426297,2.981612802102768,16.00651927426297,5.368409762318719,-0.06461763963505048,0.007319132316000404,2.984576453921415,16.027991880892742,5.37027351396332,0.0,0.025097255698273552,2.98214976429962,16.009359603740293,5.368395576705789,-0.060903593191652824,0.007745532631218067
C03-L,C03,L,850.0,2.0,20.0,8.188518536743857,48.656997723471896,2.985411821234472,15.98558984864935,2.9854118214787624,15.985589850795444,5.354567746997568,-0.07336239571213889,0.0037863740102857583,2.988786914893602,16.009905269006257,5.3566566385935195,0.0,0.02551124861328153,2.9860155277613796,15.988760479040966,5.354546997626555,-0.06930895723203485,0.0042030645189415706
C03-M,C03,M,850.0,2.0,20.0,8.188518536743857,47.37712878670997,2.98560910785683,15.98822036621851,2.9856091092187653,15.988220378589034,5.3550949885642,-0.07588070953915604,0.005958758270988979,2.9891007800440508,16.01338097535743,5.3572569657960605,0.0,0.02760474907591936,2.986234148925843,15.991504799126059,5.35507398335735,-0.07167302254989488,0.00639130555789263
C03-S,C03,S,850.0,2.0,20.0,8.188518536743857,55.82958825986819,2.985062201702867,15.98447411146913,2.9850622006260465,15.984474106482658,5.354821116668956,-0.06976703715543925,0.004235233560633552,2.988270770957062,16.007593090117094,5.356808106445554,0.0,0.024191221820747576,2.985636242955775,15.987488862360895,5.354801309128438,-0.06591374508492408,0.004518846756029234
C04-L,C04,L,850.0,5.0,10.0,4.078166000601167,46.06812125681388,2.982479143476924,16.002060528217502,2.9824791449704353,16.00206053807628,5.365355383980364,-0.07605941646570176,0.005492885926206423,2.9859707253819443,16.02733170375906,5.367544821360885,0.0,0.027297170055876743,2.983106560020972,16.005366516596055,5.3653351613706795,-0.07180460339042799,0.0059556303428372395
C04-M,C04,M,850.0,5.0,10.0,4.078166000601167,48.76822425576293,2.98268751680092,16.000195784749096,2.9826875162039848,16.000195781316293,5.364355365552831,-0.07266319310311083,0.005629730865520603,2.9860234826709267,16.024330617212193,5.366444942649551,0.0,0.02619051299278164,2.9832876143985225,16.00335876680296,5.364336542532621,-0.06858275066314856,0.006027399952265764
C04-S,C04,S,850.0,5.0,10.0,4.078166000601167,54.74795312869979,2.982594840414987,16.003281471231386,2.982594840414987,16.003281471231386,5.365556613450303,-0.07003125871826038,0.00710460449983892,2.9858096207052167,16.026550913440705,5.367572936433704,0.0,0.026475688911551182,2.983175958538229,16.006351640312868,5.365540572456229,-0.0660297301943791,0.007512524932966627
C07-L,C07,L,850.0,8.0,10.0,4.054026098945026,46.19371591044056,2.9827097515826027,16.008186158157077,2.9827097517979526,16.008186159338585,5.366994274145845,-0.05934883744418654,0.0072014173451617845,2.9854339423477425,16.027914614261096,5.368705161051649,0.0,0.023324901511141527,2.9832040983196455,16.01080286930929,5.366982057421993,-0.05591352372029183,0.0075931897590776985
C07-M,C07,M,850.0,8.0,10.0,4.054026098945026,44.62646785790687,2.9814085527399565,16.01256289315128,2.9814085527399565,16.01256289315128,5.370804641462342,-0.054779863071150646,0.006379614592265464,2.983920278777977,16.03078314472078,5.372389892160913,0.0,0.021099088519124377,2.9818949144322486,16.015211100686756,5.370816732398514,-0.05084801718277385,0.0068316017468399185
C07-S,C07,S,850.0,8.0,10.0,4.054026098945026,51.258439299854565,2.982580001681569,16.005652001454493,2.982580001789525,16.005652002525252,5.366378099806873,-0.06592236664328731,0.006586781241349263,2.985605909667583,16.02756171187723,5.36827772881175,0.0,0.024952001251423175,2.983126354829468,16.008537233671717,5.3663624431311945,-0.06217341493389702,0.006992146778057253
C09-L,C09,L,850.0,8.0,20.0,8.06781902846315,47.56547522436375,2.983042413919766,16.00271905451127,2.9830424137783744,16.002719053855625,5.364563031333603,-0.07158966308471251,0.007528184400456484,2.9863300106772974,16.026504177210796,5.366621947309834,0.0,0.027277329136736615,2.9836361542137344,16.005854593062008,5.364546401027228,-0.06750832199402676,0.007983596804271078
C09-M,C09,M,850.0,8.0,20.0,8.06781902846315,50.93858789595886,2.9827698329833168,15.998969723125454,2.9827698326320635,15.998969721784887,5.363796276451889,-0.07556475989944436,0.005720078755093261,2.9862394128825933,16.02406535235916,5.365968074505873,0.0,0.027408693528009426,2.9833935746344817,16.002256289188864,5.3637764809993005,-0.07132892699070911,0.0061840000975059055
C09-S,C09,S,850.0,8.0,20.0,8.06781902846315,55.50452587369766,2.9829503257112107,16.00162551179185,2.9829503257112107,16.00162551179185,5.364362045813371,-0.07429585946518316,0.007104823470952513,2.986362056745514,16.026308268007103,5.366498757847299,0.0,0.028025129454308535,2.9835647578711852,16.00486604161257,5.364343441646047,-0.07010311829545893,0.007576092019744591
C12-L,C12,L,900.0,2.0,20.0,20.43596685712156,54.969167356526086,2.9835375314204384,15.998748684169229,2.9835375314204384,15.998748684169229,5.362342023749355,-0.06273285936291187,0.008042164510813049,2.986419007832714,16.01957536223967,5.364141910503476,0.0,0.0247632155017445,2.984060880707209,16.00151837665875,5.3623297299706785,-0.05908367629346054,0.008411888206367693
C12-M,C12,M,900.0,2.0,20.0,20.43596685712156,55.09086566414818,2.983097936748777,15.9977548499931,2.9830979367487775,15.9977548499931,5.362799073043091,-0.07420766453292883,0.005402745288993372,2.9865059702765104,16.022394691499642,5.3649297376144816,0.0,0.026815877742087612,2.983710664508433,16.000983132515984,5.362779750345582,-0.07004506917534979,0.005856577061038484
C12-S,C12,S,900.0,2.0,20.0,20.43596685712156,63.62196732812889,2.983182039534054,15.995109665586822,2.983182039534054,15.995109665586822,5.361761184404661,-0.07845106991853801,0.005336595940640335,2.986785409169117,16.021151593557136,5.364011604038873,0.0,0.027824541671173614,2.983827647748279,15.998505441520855,5.36173912511133,-0.07410376900932768,0.005731670042549686
C14-L,C14,L,900.0,5.0,15.0,15.174386742848624,61.14925233381459,2.983344727264889,15.99382497124368,2.983344727264889,15.99382497124368,5.361038174729044,-0.08279445746581685,0.0026250300293086865,2.9871483595548796,16.021306199748402,5.363411612450266,0.0,0.02762099100944583,2.9840215239169567,15.997373516189409,5.361011436402295,-0.07832016422882554,0.003026968340303238
C14-M,C14,M,900.0,5.0,15.0,15.174386742848624,58.39167015024934,2.9823662050857567,16.00070699071443,2.9823662050857567,16.00070699071443,5.365104715654574,-0.07513166953881094,0.0042409166156517,2.985814780944872,16.025665349256183,5.3672670694545905,0.0,0.02628343071033689,2.982984697963639,16.003962719776656,5.365083746725856,-0.07096044728654749,0.00467789128183082
C14-S,C14,S,900.0,5.0,15.0,15.174386742848624,65.35184172332542,2.9828573721059968,15.991314571488898,2.9828573721059968,15.991314571488898,5.3610724807128465,-0.08900053243463034,0.004174158509577117,2.9869449715309213,16.020850263694637,5.363624176672847,0.0,0.02972797675525927,2.9835826635443587,15.99511228269018,5.361042104893023,-0.08424242064693628,0.004399435984271552
C15-L,C15,L,900.0,5.0,20.0,20.174386742848625,58.93161584589137,2.9827947483959,15.997413127083677,2.9827947483959,15.997413127083675,5.363229614001041,-0.07641548590754894,0.0037525968066601193,2.986303492135114,16.022786244980622,5.365424608442871,0.0,0.026258804783410243,2.9834229121763265,16.00071646553638,5.363207609699655,-0.07219709087407761,0.004182026462998201
C15-M,C15,M,900.0,5.0,20.0,20.174386742848625,60.91744638730755,2.98253237683394,15.99828887863141,2.9825323761303912,15.998288874109978,5.363995040639438,-0.0834226394047216,0.0042760248010956506,2.9863625670259335,16.02599674581342,5.366393525945321,0.0,0.028390084833354312,2.983215429195548,16.00187506240273,5.363968993254296,-0.07888199086913208,0.004643388194238361
