target,R2,MAE,n_eval,group
D_XRD,0.38657831514653906,9.765960708002517,51,structure
lattice_c,-0.00935058852355164,0.007279459194694391,51,structure
c_a_ratio,-0.27687111498505623,0.004579427737868913,51,structure
D_sec,0.8937303356416344,0.7234458395277834,81,morph_packing
circularity,0.8428830493543774,0.04264912430776604,81,morph_packing
convexity,0.7312830474065514,0.018270040132798017,81,morph_packing
compaction_density,0.6667708672353471,0.05934599852856297,81,morph_packing
