sample_id,condition_id,precursor,Theta,n_particles,D10_num,D50_num,D90_num,Span_num,D10_vol,D50_vol,D90_vol,Span_vol,n_carry50vol,n_carry90vol
C01-L,C01,L,4.174725607225732,501,5.871427426613504,9.213178512111671,13.929016644280894,0.8745721367576738,8.2129874950216,12.259956654556726,15.857179530343403,0.6235088957252262,99,316
C01-M,C01,M,4.174725607225732,488,4.9188383367832955,8.849368497770836,13.778002867239346,1.0011069753381479,8.082016977295696,12.6396952617129,16.150136461789057,0.6383159813142512,86,268
C01-S,C01,S,4.174725607225732,2980,2.2816588429798004,3.870791546133164,6.498600783056093,1.0894262555391094,3.694562453525125,6.083552037682839,8.971639167468062,0.8674334798577511,406,1646
C02-L,C02,L,6.181622071984794,468,6.082792701403982,9.77164328274587,14.044530335887792,0.8147798076647074,8.66345844724483,12.56779040434172,17.007706142069097,0.6639391194765334,95,296
C02-M,C02,M,6.181622071984794,414,6.04088992893188,9.647374794205135,15.07271862195913,0.9361954817441505,8.807508231239957,13.502081907429709,17.796850428441438,0.6657745271308841,76,244
C02-S,C02,S,6.181622071984794,2609,2.606367617934471,4.208679785659095,7.029835114553363,1.0510344625627441,3.9439084451697126,6.458462217989478,9.138115467539743,0.8042482632943216,382,1471
C03-L,C03,L,8.188518536743857,492,5.968482175799492,9.4697353194502,13.915786921422972,0.8392319824715957,8.205692981820347,12.659717506298993,15.14110344535684,0.5478329559949263,104,307
C03-M,C03,M,8.188518536743857,386,6.326613016184544,10.295226328041476,14.30453696993409,0.7749148682647012,9.013285448238557,12.807748704184021,16.274158239051648,0.566912496373474,87,246
C03-S,C03,S,8.188518536743857,2809,2.3230215853143203,4.08621916744697,6.91235050025644,1.123123534709835,3.895316341929664,6.492737160311173,9.47856068308939,0.8599215097276693,365,1525
C04-L,C04,L,4.078166000601167,447,6.244442993043841,10.238051716608435,14.553139299354257,0.8115505309307856,8.933611068391608,13.187825714093401,17.483721039458498,0.6483335582703118,91,275
C04-M,C04,M,4.078166000601167,459,4.8779948418979755,9.387252839225006,15.016471599265813,1.0800259597785427,8.808042172317101,13.382948594552007,18.01576672850511,0.6880191230754882,76,252
C04-S,C04,S,4.078166000601167,2559,2.374374175127893,4.140241406965356,7.144499443885116,1.1521369890973454,4.0156942680121945,6.759456029690004,10.181500597528627,0.9121749298218607,323,1358
C05-L,C05,L,6.085062465360228,539,5.695793458191785,9.074313316252915,13.74040852603873,0.8865260419692927,8.139412496818439,12.184925744166218,15.960378366543544,0.6418558499192786,104,336
C05-M,C05,M,6.085062465360228,431,5.503043830830882,9.846078657768498,15.27884754047046,0.9928626460775354,9.23827443531004,13.564849056434994,18.258756675556302,0.6649895035851549,78,248
C05-S,C05,S,6.085062465360228,3162,2.309316323606075,3.8912374721731418,6.2638019826777525,1.0162540033474783,3.6251748228320464,5.806187319199745,8.322545107645404,0.809028373797073,469,1840
C06-L,C06,L,8.091958930119292,469,6.186291500741896,9.732584744931176,14.591047097728348,0.8635687042297504,8.808970937485563,13.03309488976431,18.51297075464869,0.7445660374025417,86,292
C06-M,C06,M,8.091958930119292,412,5.7479388414816714,10.186763881077844,15.384027008712982,0.9459420361289195,9.064157004046065,13.89250539761816,18.175382886923135,0.6558374909423588,79,236
C06-S,C06,S,8.091958930119292,1923,2.678446672979338,4.879321291024226,8.370459090272005,1.166558231728546,4.80261769601773,7.887903572044656,10.71835947057168,0.7499764316997738,263,980
