condition_id,T_C,beta,t_hold,Theta,compaction_density_S,compaction_density_M,compaction_density_L,compaction_density_pattern,compaction_density_full_order_match,compaction_density_is_reversal,compaction_density_prop_S_vs_M,compaction_density_prop_S_vs_L,compaction_density_ML_tie_within_delta,D_sec_S,D_sec_M,D_sec_L,D_sec_pattern,D_sec_full_order_match,D_sec_is_reversal,D_sec_prop_S_vs_M,D_sec_prop_S_vs_L,D_sec_ML_tie_within_delta,circularity_S,circularity_M,circularity_L,circularity_pattern,circularity_full_order_match,circularity_is_reversal,circularity_prop_S_vs_M,circularity_prop_S_vs_L,circularity_ML_tie_within_delta,convexity_S,convexity_M,convexity_L,convexity_pattern,convexity_full_order_match,convexity_is_reversal,convexity_prop_S_vs_M,convexity_prop_S_vs_L,convexity_ML_tie_within_delta,in_T1_sieved_conditions,in_T1_low_theta_sieved_trio
C16,900.0,8.0,10.0,10.108991714280393,3.13,3.4,3.37,S<L<M,False,True,True,True,False,4.411221620440145,10.624528374427824,10.122680920957952,S<L<M,False,True,True,True,,0.6267739636594966,0.3359527396659331,0.4878245707869858,M<L<S,False,True,True,True,,0.8448857032158078,0.7652453003209536,0.8384647827920709,M<L<S,False,True,True,True,,False,False
C17,900.0,8.0,15.0,15.10899171428039,3.06,3.29,3.3,S<M<L,True,False,True,True,True,4.611754560525867,11.839771392430563,10.525241426110606,S<L<M,False,True,True,True,,0.5962876238629882,0.3061840164067754,0.4760156825352625,M<L<S,False,True,True,True,,0.834345429490124,0.7525385054192812,0.8366552007915152,M<S<L,False,True,True,False,,False,False
C18,900.0,8.0,20.0,20.10899171428039,3.04,3.3,3.32,S<M<L,True,False,True,True,False,4.991872966174892,11.127970279117552,11.273942590428806,S<M<L,True,False,True,True,,0.5605387046412269,0.3340086534630376,0.420479334399403,M<L<S,False,True,True,True,,0.8168570784321094,0.7583331945687743,0.805318138651472,M<L<S,False,True,True,True,,False,False
C19,950.0,2.0,10.0,24.21446407057823,3.16,3.34,3.37,S<M<L,True,False,True,True,False,5.3062844292839735,11.765807984953714,11.819581827800263,S<M<L,True,False,True,True,,0.5309043651906313,0.3090964011521875,0.37471958032132,M<L<S,False,True,True,True,,0.8050532697187698,0.7465510624337139,0.7901516617424433,M<L<S,False,True,True,True,,False,False
C20,950.0,2.0,15.0,35.77567253496972,3.26,3.34,3.45,S<M<L,True,False,True,True,False,5.303293287167072,11.568542485201585,11.327312601950805,S<L<M,False,True,True,True,,0.5236644148842428,0.2871032204972198,0.3675766078194761,M<L<S,False,True,True,True,,0.7968750000000001,0.7269451718726857,0.7979172834468775,M<S<L,False,True,True,False,,False,False
C21,950.0,2.0,20.0,47.33688099936123,3.24,3.355,3.325,S<L<M,False,True,True,True,False,5.548999065682753,9.157885118422907,11.826358256378134,S<M<L,True,False,True,True,,0.5180029222813124,0.3130151460837162,0.3190281414260775,M<L<S,False,True,True,True,,0.8047091412742382,0.7251372118551043,0.7608557594865444,M<L<S,False,True,True,True,,True,False
C22,950.0,5.0,10.0,23.55923578550109,3.37,3.5,3.51,S<M<L,True,False,True,True,True,5.56328149565903,12.992805914875769,12.522535138943129,S<L<M,False,True,True,True,,0.49088105596107,0.2441226219486276,0.3227905723752118,M<L<S,False,True,True,True,,0.7854625720191758,0.7132857142857142,0.7728832951945079,M<L<S,False,True,True,True,,False,False
C23,950.0,5.0,15.0,35.12044424989258,3.33,3.43,3.56,S<M<L,True,False,True,True,False,6.886587711776878,9.907145179054211,12.429594538251637,S<M<L,True,False,True,True,,0.4223410298140281,0.3292918926245407,0.3207354068927546,L<M<S,True,False,True,True,,0.7654324353500505,0.7373725058672091,0.7572772161906163,M<L<S,False,True,True,True,,False,False
C24,950.0,5.0,20.0,46.68165271428408,3.1,3.37,3.4,S<M<L,True,False,True,True,False,4.531904977172929,10.88717943418724,11.072225426422966,S<M<L,True,False,True,True,,0.6106123834198492,0.3397693825324865,0.4304883904753143,M<L<S,False,True,True,True,,0.8368592397019667,0.7545605808500984,0.8124499064921187,M<L<S,False,True,True,True,,False,False
C25,950.0,8.0,10.0,23.39542871423181,3.13,3.38,3.41,S<M<L,True,False,True,True,False,5.05820358973422,10.07238157407282,11.271113901373727,S<M<L,True,False,True,True,,0.5624478112643455,0.3686419031995877,0.4311072237386223,M<L<S,False,True,True,True,,0.8183006535947713,0.7722419928825623,0.8224826698120924,M<S<L,False,True,True,False,,False,False
C26,950.0,8.0,15.0,34.956637178623296,3.28,3.44,3.43,S<L<M,False,True,True,True,True,5.415826839329719,12.26383539380828,11.543832104568835,S<L<M,False,True,True,True,,0.5073927498179474,0.3032572824128868,0.3482391535179845,M<L<S,False,True,True,True,,0.7953216374269005,0.7549215406562054,0.770765324628219,M<L<S,False,True,True,True,,False,False
C27,950.0,8.0,20.0,46.5178456430148,3.14,3.38,3.38,S<M=L,False,True,True,True,True,4.830280523803874,11.31609882347827,11.44163562319878,S<M<L,True,False,True,True,,0.5625180144350935,0.3351131984131583,0.4306557348429704,M<L<S,False,True,True,True,,0.817032793777591,0.75,0.8162839248434238,M<L<S,False,True,True,True,,False,False
