start_C,r2_D_XRD_vs_lnTheta,n_xrd_samples
500,0.6399035700725798,51
525,0.6399035936653426,51
550,0.6399036699854663,51
575,0.6399038686041546,51
600,0.6399043375590565,51
625,0.6399053774190635,51
650,0.6399075726672117,51
675,0.6399120152775519,51
700,0.6399206699814586,51
