sample_id,n_sec,D_sec,n_images,combo_id,percentile,slope
C11-L,670,8.280479264337224,3,percentile_75,75.0,0.082
C11-M,869,6.374318642190622,3,percentile_75,75.0,0.082
C11-S,2861,4.0550261985540725,3,percentile_75,75.0,0.082
C12-L,681,7.815042036674781,3,percentile_75,75.0,0.082
C12-M,991,6.233321013554577,3,percentile_75,75.0,0.082
C12-S,2333,4.549383858971028,3,percentile_75,75.0,0.082
C13-L,549,9.168278030923805,3,percentile_75,75.0,0.082
C13-M,661,8.02347973200272,3,percentile_75,75.0,0.082
C13-S,2758,4.113317165865251,3,percentile_75,75.0,0.082
C14-L,790,7.491514716949809,3,percentile_75,75.0,0.082
C14-M,899,6.652121476931801,3,percentile_75,75.0,0.082
C14-S,3001,3.9196876934001574,3,percentile_75,75.0,0.082
C15-L,712,7.9917662492690695,3,percentile_75,75.0,0.082
C15-M,730,7.000876759097091,3,percentile_75,75.0,0.082
C15-S,2454,4.193567780719649,3,percentile_75,75.0,0.082
C16-L,630,8.479351196597843,3,percentile_75,75.0,0.082
C16-M,766,7.140054964796276,3,percentile_75,75.0,0.082
C16-S,2198,4.385964343097444,3,percentile_75,75.0,0.082
C17-L,567,9.133588999877993,3,percentile_75,75.0,0.082
C17-M,598,8.499921471804495,3,percentile_75,75.0,0.082
C17-S,2153,4.521387384732147,3,percentile_75,75.0,0.082
C18-L,508,9.60949662901773,3,percentile_75,75.0,0.082
C18-M,670,7.533754345937549,3,percentile_75,75.0,0.082
C18-S,2016,4.853228476755571,3,percentile_75,75.0,0.082
C19-L,431,10.069229522180875,3,percentile_75,75.0,0.082
C19-M,533,8.680987719817331,3,percentile_75,75.0,0.082
C19-S,1820,5.095718592639985,3,percentile_75,75.0,0.082
C20-L,480,9.953493325401151,3,percentile_75,75.0,0.082
C20-M,594,8.400371733906322,3,percentile_75,75.0,0.082
C20-S,1758,5.120575904019775,3,percentile_75,75.0,0.082
C21-L,437,10.125816334048773,3,percentile_75,75.0,0.082
C21-M,749,7.4062889833871255,3,percentile_75,75.0,0.082
C21-S,1684,5.227936297485919,3,percentile_75,75.0,0.082
C22-L,421,10.64542225571919,3,percentile_75,75.0,0.082
C22-M,416,9.786249650026118,3,percentile_75,75.0,0.082
C22-S,1626,5.300298767133764,3,percentile_75,75.0,0.082
C23-L,410,10.318350932922826,3,percentile_75,75.0,0.082
C23-M,686,7.965905829919796,3,percentile_75,75.0,0.082
C23-S,1202,6.0812338918072095,3,percentile_75,75.0,0.082
C24-L,549,9.329588951844057,3,percentile_75,75.0,0.082
C24-M,628,8.039285680855798,3,percentile_75,75.0,0.082
