sample_id,filename,mag_raw,mag_bucket,pixel_um,pixel_source,mag_read_error,pixel_read_error
C06-S,C06-S-03.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C06-S,C06-S-04.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C06-S,C06-S-05.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C06-S,C06-S-06.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C06-S,C06-S-07.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C06-S,C06-S-08.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C06-S,C06-S-09.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C06-S,C06-S-10.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C06-S,C06-S-11.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C06-S,C06-S-12.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C07-L,C07-L_10000x_01.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C07-L,C07-L_10000x_02.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C07-L,C07-L_10000x_03.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C07-L,C07-L_2000x_01.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C07-L,C07-L_2000x_02.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C07-L,C07-L_2000x_03.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C07-L,C07-L_5000x_01.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C07-L,C07-L_5000x_02.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C07-L,C07-L_5000x_03.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C07-L,C07-L_500x_01.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C07-L,C07-L_500x_02.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C07-L,C07-L_500x_03.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C07-M,LF10-3-01.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C07-M,LF10-3-02.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C07-M,LF10-3-03.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C07-M,LF10-3-04.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C07-M,LF10-3-05.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C07-M,LF10-3-06.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C07-M,LF10-3-07.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C07-M,LF10-3-08.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C07-M,LF10-3-09.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C07-M,LF10-3-10.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C07-M,LF10-3-11.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C07-M,LF10-3-12.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C07-S,LF10-2-01.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C07-S,LF10-2-02.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
