sample_id,precursor,T_C,beta,t_hold,Theta,xrd_instrument,D_XRD,D_XRD_003,D_XRD_104,two_theta_003,fwhm_003,eta_003,D_003_gauss,D_003_lorentz,two_theta_104,fwhm_104,eta_104,D_104_gauss,D_104_lorentz,D_XRD_gauss_reimpl,D_XRD_lorentz,diff_003_vs_master,diff_104_vs_master,diff_DXRD_vs_master
C01-L,L,850.0,2.0,10.0,4.174725607225732,1,42.42732360509935,39.95663392437353,44.898013285825165,16.516231984588597,0.21592360924322784,0.5859537519787756,39.95663392437353,58.679449856841195,41.52786701085878,0.20362811238009956,0.6829316711858725,44.898013285825165,66.15820150525131,42.427323605099346,62.41882568104626,0.0,0.0,-7.105427357601002e-15
C01-M,M,850.0,2.0,10.0,4.174725607225732,1,42.86950230591994,40.12887982408729,45.6101247877526,16.51354214657324,0.21512108565444973,0.6311698902420021,40.12887982408729,59.02580112576709,41.52089885437205,0.20088165689413634,0.6974140746471477,45.610124787752596,67.60263611277986,42.869502305919944,63.314218619273475,0.0,-7.105427357601002e-15,7.105427357601002e-15
C01-S,S,850.0,2.0,10.0,4.174725607225732,1,46.93374761102706,43.797821402893966,50.06967381916016,16.515657841501035,0.1996336136868654,0.6468478840342082,43.797821402893966,66.61134405693606,41.52618381757529,0.18560417484800515,0.6257889330297773,50.06967381916016,76.9591575097786,46.93374761102706,71.78525078335733,0.0,0.0,0.0
C03-L,L,850.0,2.0,20.0,8.188518536743857,1,48.656997723471896,46.10310376567544,51.21089168126836,16.54039855242465,0.1912563136148228,0.5684288366316448,46.103103765675435,71.58602112736513,41.49493786986064,0.1821386351157903,0.5631949751111454,51.21089168126836,79.44628531447249,48.656997723471896,75.51615322091881,-7.105427357601002e-15,0.0,0.0
C03-M,M,850.0,2.0,20.0,8.188518536743857,1,47.37712878670997,43.00895406403072,51.74530350938922,16.528645083965518,0.20272605422053078,0.6553639448861456,43.00895406403072,64.94418280207026,41.487242857125814,0.1805760386884102,0.5936391044286444,51.745303509389224,80.62272214398362,47.377128786709974,72.78345247302694,0.0,7.105427357601002e-15,7.105427357601002e-15
C03-S,S,850.0,2.0,20.0,8.188518536743857,1,55.82958825986819,51.21793905023089,60.441237469505495,16.546576727842716,0.17557272209588012,0.6275650023275312,51.21793905023089,83.22494066417232,41.49954898154156,0.15941119309115095,0.3480542859530675,60.441237469505495,100.89131536891414,55.82958825986819,92.05812801654324,0.0,0.0,0.0
C04-L,L,850.0,5.0,10.0,4.078166000601167,1,46.06812125681388,42.44797420302768,49.68826831060009,16.515484423629854,0.2049977661700719,0.58989330199112,42.447974203027684,63.77274696020185,41.512325125212946,0.18678879555466166,0.5978286219486338,49.68826831060009,76.13909021198067,46.06812125681388,69.95591858609126,7.105427357601002e-15,0.0,0.0
C04-M,M,850.0,5.0,10.0,4.078166000601167,1,48.76822425576293,45.19514672287914,52.34130178864671,16.5224651705194,0.19444463045459087,0.592775659043907,45.195146722879144,69.60810848235509,41.51296313651392,0.1788902215022261,0.5581605731854516,52.34130178864671,81.93957087969285,48.76822425576293,75.77383968102397,7.105427357601002e-15,0.0,0.0
C04-S,S,850.0,5.0,10.0,4.078166000601167,1,54.74795312869979,50.83004256330493,58.66586369409466,16.5177569918543,0.17663938258735876,0.5735404973250878,50.83004256330493,82.31772227753768,41.51114538930126,0.16317856993037969,0.38305454954516915,58.66586369409466,96.57362608784813,54.74795312869979,89.4456741826929,0.0,0.0,0.0
C07-L,L,850.0,8.0,10.0,4.054026098945026,1,46.19371591044056,42.61238012861341,49.77505169226772,16.520417322031246,0.204325474712548,0.5899960957021336,42.61238012861341,64.11495216453598,41.52143170735831,0.18652048340486146,0.5961895976123966,49.775051692267716,76.32460617409095,46.19371591044056,70.21977916931345,0.0,-7.105427357601002e-15,0.0
C07-M,M,850.0,8.0,10.0,4.054026098945026,1,44.62646785790687,40.43006913391375,48.82286658189999,16.52253589209446,0.21373728210557413,0.6236922427043253,40.43006913391375,59.63225752541247,41.53402731146537,0.18957790333463392,0.5871608436219478,48.82286658189999,74.28693320962743,44.62646785790687,66.95959536751995,0.0,0.0,0.0
C07-S,S,850.0,8.0,10.0,4.054026098945026,1,51.258439299854565,46.1537741734512,56.36310442625793,16.518071513261937,0.19108010122004856,0.6546460735708615,46.153774173451204,71.70020516392414,41.513383790363434,0.1684521905289249,0.4466406401459048,56.36310442625793,91.11225209794904,51.258439299854565,81.4062286309366,7.105427357601002e-15,0.0,0.0
C09-L,L,850.0,8.0,20.0,8.06781902846315,1,47.56547522436375,43.51806637110421,51.61288407762329,16.513612112119688,0.20071567196146517,0.5794193924525974,43.51806637110421,66.01867977753042,41.51109364298251,0.18097035530071143,0.5536291163709162,51.61288407762329,80.32755536648472,47.56547522436375,73.17311757200757,0.0,0.0,0.0
