target,R2,MAE,n_folds,n_eval
compaction_density,0.6378565488351429,0.06151450136408759,27,81
D_sec,0.9224662871002991,0.5980451002182238,27,81
D_XRD,0.5620338824482669,8.251550680734981,17,51
