sample_id,precursor,filename,d_um,D_f,r2,n_scales
C01-L,L,C01-L-04.tif,8.291975509002073,1.0447811240873879,0.736630143505849,5
C01-L,L,C01-L-04.tif,14.213265546677315,1.0483436549492964,0.8231010257024828,8
C01-L,L,C01-L-04.tif,14.344430079259627,1.028008447538958,0.7775358299107846,7
C01-L,L,C01-L-04.tif,5.833459368372237,,,0
C01-L,L,C01-L-04.tif,14.087640785882098,1.0452607188873597,0.9508786757623091,8
C01-L,L,C01-L-04.tif,7.516900225017875,1.0555641013865906,0.9359837592720293,6
C01-L,L,C01-L-04.tif,13.855897941636451,1.0814309405993636,0.793826757981033,8
C01-L,L,C01-L-04.tif,6.125443280890184,,,0
C01-L,L,C01-L-04.tif,15.833880000796277,1.0524960238253842,0.9490515239628527,8
C01-L,L,C01-L-04.tif,6.58497505665575,,,0
C01-L,L,C01-L-04.tif,5.662255619291985,,,0
C01-L,L,C01-L-04.tif,8.753816074083055,1.0752713646540148,0.8409831265885804,7
C01-L,L,C01-L-04.tif,8.15299400961574,1.077618209572687,0.9383941772888182,7
C01-L,L,C01-L-04.tif,5.651032108515939,,,0
C01-L,L,C01-L-04.tif,6.414034407382075,1.0357246333817964,0.7170384681536375,5
C01-L,L,C01-L-04.tif,11.422198295884723,1.0719850442362888,0.8179393324143177,8
C01-L,L,C01-L-04.tif,10.012322902794777,1.059458135692094,0.7827392421203118,8
C01-L,L,C01-L-04.tif,5.838898492508035,,,0
C01-L,L,C01-L-04.tif,15.069653009564034,1.0749764174936798,0.8717087243981706,8
C01-L,L,C01-L-04.tif,8.102220379446242,1.0350656331136878,0.9109632606303432,6
C01-L,L,C01-L-04.tif,6.228226349022512,,,0
C01-L,L,C01-L-04.tif,14.579294443099288,1.0689817383601445,0.8637981802988682,8
C01-L,L,C01-L-04.tif,13.27558027865735,1.0494124136994742,0.9082370017660317,8
C01-L,L,C01-L-04.tif,10.122680920957952,1.0714987992842262,0.8828061651609962,7
C01-L,L,C01-L-04.tif,7.3287340820165845,1.0453424150646702,0.940451055637514,6
C01-L,L,C01-L-04.tif,16.547542739140095,1.0445688993156663,0.9488231309919308,8
C01-L,L,C01-L-04.tif,12.054985122238945,1.078868284006689,0.9559957720734749,8
C01-L,L,C01-L-04.tif,6.817094634927302,1.0448591410644061,0.8243895610771149,6
C01-L,L,C01-L-04.tif,11.43886088431399,1.0512458683916515,0.9488648297139475,8
C01-L,L,C01-L-04.tif,13.434831140002547,1.084231935331063,0.8547861508561725,8
C01-L,L,C01-L-04.tif,8.428665633595289,1.081756039898686,0.860222548697029,8
C01-L,L,C01-L-04.tif,15.899900634613664,1.0401639663967541,0.9282498545965209,8
C01-L,L,C01-L-04.tif,8.73203134663969,1.0751488641697335,0.9296903044377535,7
C01-L,L,C01-L-04.tif,12.691238802078056,1.0443474744059764,0.7625753948213518,8
C01-L,L,C01-L-04.tif,11.850490970355121,1.0825195980155131,0.8931823272152736,8
C01-L,L,C01-L-04.tif,12.95365612820667,1.0473487836793245,0.8369318036905107,8
C01-L,L,C01-L-04.tif,10.200777132728449,1.0275474510865674,0.7052181046963251,7
C01-L,L,C01-L-04.tif,13.282751745973583,1.0882654418282065,0.778243352691051,8
C01-L,L,C01-L-04.tif,8.477484332434145,1.0423377371714737,0.8883073402289057,6
C01-L,L,C01-L-04.tif,10.4801339599076,1.0832705885914446,0.8380718566029488,8
C01-L,L,C01-L-04.tif,12.69373978521438,1.0260198364140187,0.9631918656106839,7
C01-L,L,C01-L-04.tif,10.471043195762313,1.0362433540796288,0.6820293986372206,8
C01-L,L,C01-L-04.tif,5.3212199634857855,,,0
C01-L,L,C01-L-04.tif,9.871836919330999,1.048272492848927,0.875425188699502,8
C01-L,L,C01-L-04.tif,12.509854087448483,1.051399817858453,0.6902512242456931,7
C01-L,L,C01-L-04.tif,6.969064755942961,1.0520598695674406,0.8989217128215308,6
C01-L,L,C01-L-04.tif,8.318730051241575,1.0519121034327275,0.7085344043935101,6
C01-L,L,C01-L-04.tif,13.9404067979908,1.0755015648331105,0.8374584014784995,8
C01-L,L,C01-L-04.tif,8.375773439860426,1.0604990829924525,0.914212668910665,8
C01-L,L,C01-L-04.tif,11.086550992546831,1.0429584194552772,0.7263410289230667,7
C01-L,L,C01-L-04.tif,12.354097202309926,1.0669184119396868,0.9338369865178818,8
C01-L,L,C01-L-04.tif,6.973618212656119,1.0246016855328341,0.8055949231833917,7
C01-L,L,C01-L-04.tif,11.563064969203177,1.0494593246144255,0.8512722699745292,8
C01-L,L,C01-L-04.tif,11.935901019448728,1.062368220416587,0.7725249638471794,8
C01-L,L,C01-L-04.tif,12.346386332608972,1.0404815023986562,0.7716215869515212,8
C01-L,L,C01-L-04.tif,11.527321251630733,1.0662673695195566,0.9315989740317684,7
C01-L,L,C01-L-04.tif,7.245970092473379,1.044141623713022,0.7870304855184317,5
C01-L,L,C01-L-04.tif,7.311387941523849,1.0508719786688954,0.9566358860128776,6
C01-L,L,C01-L-04.tif,11.935901019448728,1.0727586023991376,0.8616543966648906,7
C01-L,L,C01-L-04.tif,7.605065710662343,1.062446764036396,0.9228726142487862,7
C01-L,L,C01-L-04.tif,8.14130512330436,1.0697188679038718,0.9088861212938464,6
C01-L,L,C01-L-04.tif,9.315969106696285,1.078300503538861,0.9333131256714092,8
C01-L,L,C01-L-04.tif,6.389240984832801,1.06360951398837,0.9476338244568722,6
C01-L,L,C01-L-04.tif,10.69302639370005,1.0451130920265288,0.904263169791148,6
C01-L,L,C01-L-04.tif,5.48571136626395,,,0
C01-L,L,C01-L-04.tif,7.090981840571965,1.0392182479783287,0.7176139155512326,6
C01-L,L,C01-L-04.tif,15.85591742273549,1.0527128252684748,0.7673406615000483,8
C01-L,L,C01-L-04.tif,15.369991148758107,1.074453182998763,0.8698484037491165,8
C01-L,L,C01-L-04.tif,5.718042736096981,,,0
C01-L,L,C01-L-04.tif,14.423876761114832,1.0741955167394315,0.8677020151820246,8
C01-L,L,C01-L-04.tif,7.671559353697044,1.04314646885801,0.8875159774793783,6
C01-L,L,C01-L-04.tif,6.941681291470363,1.0738519497329384,0.951118910947495,7
C01-L,L,C01-L-04.tif,4.963175647179782,,,0
C01-L,L,C01-L-04.tif,10.182088670376965,1.0661675705627487,0.7936225322239382,8
C01-L,L,C01-L-04.tif,8.66634860700677,1.060673453847724,0.8765958209876108,6
C01-L,L,C01-L-04.tif,8.051126556786812,,,0
C01-L,L,C01-L-04.tif,16.092393181773108,1.0581852864652415,0.8594258533265189,8
C01-L,L,C01-L-04.tif,8.85835371592236,1.0854591678139496,0.9503570212353223,7
C01-L,L,C01-L-04.tif,13.603888444209703,1.0871019922336733,0.940776450173115,8
C01-L,L,C01-L-04.tif,7.911926422540884,1.0626404894734913,0.8477706939964049,7
C01-L,L,C01-L-04.tif,6.1924463365554345,,,0
