variable,tie_tolerance,tol_value,n,median_diff,q1,q3,iqr,n_pos,n_neg,n_zero,sign_test_p
compaction_density,tol0,0.0,27,0.009999999999999787,-0.02499999999999991,0.029999999999999805,0.054999999999999716,15,11,1,0.557197093963623
compaction_density,tol1e-3,0.001,27,0.009999999999999787,-0.02499999999999991,0.029999999999999805,0.054999999999999716,15,11,1,0.557197093963623
D_sec,tol0,0.0,27,2.2707505030084008e-05,-0.6073044458621322,0.4860591147012556,1.0933635605633878,14,13,0,1.0
D_sec,tol1e-3,0.001,27,2.2707505030084008e-05,-0.6073044458621322,0.4860591147012556,1.0933635605633878,13,13,1,1.0
