source,R2,MAE,n_folds,n,intercept,ln_Theta,Theta,precursor_L,precursor_M,precursor_S
unified (nfm.dxrd_baseline.ridge_coef_loco),0.8376027797262564,0.042888792350069725,27,81.0,0.572602820575254,-0.03256225259591983,-0.0010873376816993823,-0.02500220592778437,-0.12019363889436975,0.14519584482215536
snapshot (scripts/07e_target_baseline_table.py),0.839223666552053,0.0425997347740501,27,81.0,,,,,,
diff (unified - snapshot),-0.0016208868257966413,0.0002890575760196232,0,,,,,,,
