sample_id,hkl,precursor,two_theta_obs,two_theta_calc,residual_deg,fwhm,eta,cos_theta,sin_theta,D_XRD
C01-S,003,S,16.515657841501035,16.53718518424129,-0.021527342740256472,0.1996336136868654,0.6468478840342082,0.9896317706854574,0.14362784705608583,46.93374761102706
C01-S,006,S,33.49797285934177,33.5008791602307,-0.002906300888930957,0.19478678596469937,0.6842850743149714,0.9575764588871529,0.2881793285180962,46.93374761102706
C01-S,101,S,35.11657498629755,35.11163785258196,0.004937133715593234,0.16205225982335594,0.5382104559015565,0.9534105466757196,0.3016758682551615,46.93374761102706
C01-S,012,S,36.47201381243107,36.47087442760338,0.0011393848276952667,0.16245985735196733,0.6717813126789436,0.9497755804839029,0.312931856346498,46.93374761102706
C01-S,104,S,41.52618381757529,41.52603850004048,0.00014531753480895304,0.18560417484800515,0.6257889330297773,0.9350542308658796,0.3545047042562599,46.93374761102706
C01-S,015,S,45.00895942970542,45.007196826291796,0.0017626034136242197,0.1715546326620623,0.7204270025498819,0.9238496092872192,0.38275566543142436,46.93374761102706
C01-S,107,S,53.42392092715451,53.41874627354646,0.0051746536080514716,0.213967002466477,0.5322179781477488,0.8932775737609987,0.4495054796280724,46.93374761102706
C01-S,018,S,58.226031845920005,58.22816597024752,-0.0021341243275116994,0.25161474395144723,0.5120375206256377,0.8736617193361621,0.4865338633297595,46.93374761102706
C01-S,110,S,62.156286997644045,62.15740438242782,-0.0011173847837753215,0.22051393589321475,0.47122799208880395,0.8564640631831584,0.5162066528782779,46.93374761102706
C01-S,113,S,64.82364690256404,64.82520973903125,-0.0015628364672153339,0.24082549235395043,0.6128257900807613,0.8442173352973222,0.5360010175209452,46.93374761102706
C01-M,003,M,16.51354214657324,16.53478062939999,-0.02123848282674956,0.21512108565444973,0.6311698902420021,0.9896344223064111,0.14360957553817918,42.86950230591994
C01-M,006,M,33.49033761199471,33.49362364005138,-0.0032860280566708866,0.22456536823136747,0.6709675975037763,0.9575956581797812,0.2881155244606434,42.86950230591994
C01-M,101,M,35.1110327526693,35.10848442850943,0.0025483241598749373,0.18861323165763197,0.32685009210512533,0.9534251361478782,0.30162975609412296,42.86950230591994
C01-M,012,M,36.46482450166076,36.46716476418788,-0.0023402625271202737,0.19332292716083915,0.573107827195819,0.9497952115124542,0.31287226816707886,42.86950230591994
C01-M,104,M,41.52089885437205,41.52032360904717,0.0005752453248817346,0.20088165689413634,0.6974140746471477,0.9350705796299281,0.3544615791740344,42.86950230591994
C01-M,015,M,45.01282334670621,45.000137744383444,0.01268560232276883,0.2084282636846156,0.9999999999999529,0.9238367026096406,0.3827868165328406,42.86950230591994
C01-M,107,M,53.40682687278846,53.40847310610738,-0.001646233318922441,0.2600341639233403,0.5859974246660087,0.8933446182468355,0.44937222104778096,42.86950230591994
C01-M,018,M,58.215018930881534,58.21603511259229,-0.0010161817107530169,0.2701050912711162,0.6420366609833696,0.8737084740342693,0.48644989711244524,42.86950230591994
C01-M,110,M,62.14525826096259,62.14969236214083,-0.004434101178240724,0.2681053992272211,0.7095827038272424,0.8565137409494892,0.5161242210599221,42.86950230591994
C01-M,113,M,64.81795191659323,64.81628900683828,0.0016629097549554217,0.2893877286898986,0.5646672051841772,0.8442439725019325,0.5359590608378183,42.86950230591994
C01-L,003,L,16.516231984588597,16.537024200919017,-0.020792216330420388,0.21592360924322784,0.5859537519787756,0.9896310510481674,0.1436328054495191,42.42732360509935
C01-L,006,L,33.49138234366264,33.49979725442996,-0.008414910767314154,0.23843227926664598,0.481640225423469,0.9575930313896804,0.2881242548518305,42.42732360509935
C01-L,101,L,35.11662049553056,35.1083580415372,0.008262453993360452,0.2050036648997013,0.2885351553922759,0.9534104268671917,0.30167624689544154,42.42732360509935
C01-L,012,L,36.46951502849446,36.46758515704336,0.0019298714511037929,0.20271289750570112,0.4986333539392037,0.9497824040512455,0.31291114546247245,42.42732360509935
C01-L,104,L,41.52786701085878,41.52266573380723,0.005201277051547493,0.20362811238009956,0.6829316711858725,0.935049023575733,0.3545184388858614,42.42732360509935
C01-L,015,L,45.001167484508805,45.00373011020377,-0.0025626256949635717,0.27834029329889287,9.009241777524364e-19,0.9238756335986842,0.3826928450371524,42.42732360509935
C01-L,107,L,53.418489339646584,53.41495776715565,0.0035315724909352753,0.23555611177305422,0.6893625335432763,0.8932988791117458,0.44946313817453226,42.42732360509935
C01-L,018,L,58.225462796204155,58.22414281252999,0.0013199836741648596,0.26966484880819247,0.6434977220640936,0.8736641354017486,0.48652952481089484,42.42732360509935
C01-L,110,L,62.14725263149351,62.15042132675745,-0.0031686952639446986,0.3026720531769025,0.7137751001889228,0.8565047581080791,0.516139127889197,42.42732360509935
C01-L,113,L,64.81698940946724,64.81813035764947,-0.001140948182225543,0.34472565048673215,0.5821063525412317,0.8442484742384216,0.5359519696261009,42.42732360509935
C03-S,003,S,16.546576727842716,16.55509425731428,-0.0085175294715647,0.17557272209588012,0.6275650023275312,0.9895929812575709,0.1438948624717119,55.82958825986819
C03-S,006,S,33.54915906619393,33.543396006865564,0.005763059328366182,0.16011978168168114,0.5157336748031868,0.9574476382881886,0.2886070337610816,55.82958825986819
C03-S,101,S,35.066360451564606,35.06685397045648,-0.0004935188918722133,0.1320789081631555,0.0900935026939464,0.9535426508505308,0.30125805052967913,55.82958825986819
C03-S,012,S,36.4283449049519,36.43106667640427,-0.002721771452371513,0.14411047035524183,0.3048960436141788,0.9498947645602032,0.3125698902023614,55.82958825986819
C03-S,104,S,41.49954898154156,41.503058164227845,-0.0035091826862867492,0.15941119309115095,0.3480542859530675,0.9351366041252631,0.3542873574163646,55.82958825986819
C03-S,015,S,44.9975075042328,44.99464361936466,0.0028638848681410423,0.1941732894286684,0.4720489895818506,0.9238878560893888,0.38266333685179815,55.82958825986819
C03-S,107,S,53.432376185425326,53.42894834897389,0.0034278364514364057,0.20412111091387206,0.22490758135177738,0.8932444040964763,0.4495713898262777,55.82958825986819
C03-S,018,S,58.246481665026685,58.25043172445888,-0.003950059432192177,0.21926636586799442,0.31862220013704323,0.8735748794003548,0.48668976779942213,55.82958825986819
C03-S,110,S,62.075871182290946,62.07235823730005,0.0035129449908950505,0.19499777644682562,1.511996277069956e-30,0.85682610563696,0.5156054932785346,55.82958825986819
C03-S,113,S,64.74688415021114,64.74928195138924,-0.0023978011780911856,0.21547316604217803,1.2749453550604606e-21,0.844576202957347,0.5354353718219876,55.82958825986819
