variable,n,median_diff,Q1,Q3,IQR,n_pos,n_neg,n_zero,n_eff,sign_test_p
D_sec,27,2.2707505030084008e-05,-0.6073044458621322,0.4860591147012556,1.0933635605633878,14,13,0,27,1.0
compaction_density,27,0.009999999999999787,-0.02499999999999991,0.029999999999999805,0.054999999999999716,15,11,1,26,0.557197093963623
