subset_id,subset_description,group,target,term,SS,df,MS,F,p_parametric,eta2,omega2,perm_p,n_samples,design_orthogonal,type_agreement,type_max_abs_diff
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,precursor,0.9035228395068771,2.0,0.45176141975343853,133.53620180425523,2.443098127710406e-20,0.6743189236383077,0.6675836633856381,0.0001999600079984003,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,T_C,0.10200246913541378,2.0,0.05100123456770689,15.075459863784943,8.305608476264335e-06,0.076126681239604,0.07089796547497998,0.04239152169566087,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,beta,0.02285617283951069,2.0,0.011428086419755346,3.3780291712776407,0.04240503593224918,0.017058063386689477,0.011978111672040317,0.5078984203159368,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,t_hold,0.013550617283954125,2.0,0.0067753086419770625,2.0027141374643183,0.1460903210729493,0.010113123057893707,0.005050662144412743,0.6874625074985004,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,precursor:T_C,0.018217901234720557,4.0,0.004554475308680139,1.3462577974550018,0.2666025262941255,0.013596419497541942,0.0034881948592770193,0.9040191961607679,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,precursor:beta,0.0020308641971951147,4.0,0.0005077160492987787,0.15007583616906423,0.9620729901306034,0.0015156785192675388,0.0,0.9976004799040192,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,precursor:t_hold,0.022591975308614565,4.0,0.005647993827153641,1.6694910422045526,0.17251105658918747,0.016860886971360557,0.006744440786357807,0.8580283943211358,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,T_C:beta,0.042623456790011005,4.0,0.010655864197502751,3.1497679298357903,0.0222853401948745,0.03181082120743155,0.021656723679894366,0.6430713857228554,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,T_C:t_hold,0.0438567901234137,4.0,0.010964197530853426,3.2409082096936097,0.019663810625666998,0.03273128494061316,0.02257486922927923,0.6300739852029594,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,beta:t_hold,0.006264197531208993,4.0,0.0015660493828022481,0.4629086886867094,0.7625603565255132,0.004675108090248161,0.0,0.9850029994001199,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,Residual,0.16238703703697865,48.0,0.003383063271603722,,,0.12119300945104222,,,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,compaction_density,coupling_total,,12.0,,,,0.031972984988170035,0.010232635645634827,,81,True,True,7.065459328714496e-13
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,precursor,603.4827852009639,2.0,301.74139260048196,697.7081969061583,3.34495663445427e-36,0.8877591579410109,0.885923143464554,0.0001999600079984003,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,T_C,37.95041029755794,2.0,18.97520514877897,43.87583704105261,1.4584953245908006e-11,0.0558273162308294,0.054520237452006855,0.09958008398320337,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,beta,1.2733661482743628,2.0,0.6366830741371814,1.4721844949031802,0.23959690359628194,0.0018731975248742043,0.0006004223488075206,0.9258148370325935,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,t_hold,0.2639566798843589,2.0,0.13197833994217945,0.3051698303575038,0.7384174660331582,0.00038829601376120436,0.0,0.9854029194161168,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,precursor:T_C,2.4896198047581493,4.0,0.6224049511895373,1.4391695898841819,0.23555504385069317,0.0036623791691578287,0.0011168822336581137,0.9882023595280944,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,precursor:beta,0.8144588193772506,4.0,0.20361470484431266,0.47081259669469055,0.7568608064074147,0.0011981174830483351,0.0,0.9984003199360127,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,precursor:t_hold,1.0042337669492554,4.0,0.25105844173731384,0.580515424791379,0.6781816575775828,0.001477287745707475,0.0,0.9994001199760048,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,T_C:beta,4.788690556533766,4.0,1.1971726391334414,2.7681888660901146,0.03773551162382692,0.007044449320443841,0.004496802091440224,0.9628074385122976,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,T_C:t_hold,3.7187341271355763,4.0,0.9296835317838941,2.1496812719795666,0.08902799546601976,0.005470479619750893,0.0029238331082579567,0.9784043191361728,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,beta:t_hold,3.2370424243645175,4.0,0.8092606060911294,1.8712307033414441,0.13083088705960128,0.004761882405504253,0.0022156864145264207,0.9872025594881024,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,Residual,20.75880276173848,48.0,0.43247505753621834,,,0.03053743654591168,,,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,D_sec,coupling_total,,12.0,,,,0.006337784397913639,0.0011168822336581137,,81,True,True,4.618527782440651e-12
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,circularity,precursor,1.0497891969135935,2.0,0.5248945984567968,326.2460706389633,1.1484478534440655e-28,0.771065644387915,0.7677948746673952,0.0001999600079984003,81,True,True,7.771561172376096e-15
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,circularity,T_C,0.16440424772945406,2.0,0.08220212386472703,51.09239071594657,1.2905280627644755e-12,0.12075421197733649,0.11825102383552957,0.0065986802639472104,81,True,True,7.771561172376096e-15
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,circularity,beta,0.0007325573412764186,2.0,0.0003662786706382093,0.2276589955505408,0.7972507656515094,0.0005380602125294031,0.0,0.978004399120176,81,True,True,7.771561172376096e-15
baseline_81,"完整81样本(基线,27条件×3前驱体,3x3x3x3)",baseline,circularity,t_hold,0.006245221568157433,2.0,0.0031226107840787165,1.94084584111868,0.1546858590268924,0.004587088347788523,0.0022210156551435334,0.8336332733453309,81,True,True,7.771561172376096e-15
