sample_id,condition_id,precursor,Theta,n_sec,n_particles,section,count_metric,rho,p,n,combo_id,percentile,slope,n_conditions,n_samples_done,combo,sec_hmaxima_rel,bin_method,n_samples_total,n_samples_with_data,metric,D_sec_S,D_sec_L,M_D_agg
C19-M,C19,M,24.21446407057823,308.0,296.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C19-L,C19,L,24.21446407057823,316.0,299.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C20-S,C20,S,35.77567253496972,1609.0,830.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C20-M,C20,M,35.77567253496972,338.0,316.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C20-L,C20,L,35.77567253496972,362.0,339.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C21-S,C21,S,47.33688099936123,1497.0,813.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C21-M,C21,M,47.33688099936123,465.0,407.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C21-L,C21,L,47.33688099936123,300.0,294.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C22-S,C22,S,23.55923578550109,1472.0,820.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C22-M,C22,M,23.55923578550109,233.0,220.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C22-L,C22,L,23.55923578550109,265.0,261.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C23-S,C23,S,35.12044424989258,962.0,672.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C23-M,C23,M,35.12044424989258,448.0,389.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C23-L,C23,L,35.12044424989258,264.0,252.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C24-S,C24,S,46.68165271428408,2188.0,796.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C24-M,C24,M,46.68165271428408,364.0,338.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C24-L,C24,L,46.68165271428408,373.0,355.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C25-S,C25,S,23.39542871423181,1813.0,820.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C25-M,C25,M,23.39542871423181,409.0,357.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C25-L,C25,L,23.39542871423181,364.0,337.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C26-S,C26,S,34.956637178623296,1501.0,796.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C26-M,C26,M,34.956637178623296,303.0,292.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C26-L,C26,L,34.956637178623296,359.0,354.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C27-S,C27,S,46.5178456430148,1816.0,803.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C27-M,C27,M,46.5178456430148,335.0,307.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
C27-L,C27,L,46.5178456430148,355.0,331.0,s1_counts_per_sample,,,,,,,,,,,,,,,,,,
,,S,,,,s1_counts_spearman,n_sec,-0.7503052503052503,6.579306860772578e-06,27.0,,,,,,,,,,,,,,
,,M,,,,s1_counts_spearman,n_sec,-0.42857142857142855,0.02571919937279422,27.0,,,,,,,,,,,,,,
,,L,,,,s1_counts_spearman,n_sec,-0.7661782661782661,3.1811671617345244e-06,27.0,,,,,,,,,,,,,,
,,S,,,,s1_counts_spearman,n_particles,0.5639694919396075,0.002185258919559184,27.0,,,,,,,,,,,,,,
,,M,,,,s1_counts_spearman,n_particles,-0.379789349562987,0.05070314095328273,27.0,,,,,,,,,,,,,,
,,L,,,,s1_counts_spearman,n_particles,-0.7003510995960549,4.756323693406048e-05,27.0,,,,,,,,,,,,,,
,,,,,,s2_adaptive_h_sensitivity,,0.557997557997558,0.002491089240236984,,default,90.0,0.082,27.0,81.0,,,,,,,,,
,,,,,,s2_adaptive_h_sensitivity,,0.5927960927960928,0.0011203625924370896,,percentile_75,75.0,0.082,27.0,81.0,,,,,,,,,
,,,,,,s2_adaptive_h_sensitivity,,0.6062271062271062,0.0008029832277249445,,percentile_80,80.0,0.082,27.0,81.0,,,,,,,,,
,,,,,,s2_adaptive_h_sensitivity,,0.6153846153846154,0.0006343688817664601,,percentile_85,85.0,0.082,27.0,81.0,,,,,,,,,
,,,,,,s2_adaptive_h_sensitivity,,0.47741147741147744,0.011794511130715663,,percentile_95,95.0,0.082,27.0,81.0,,,,,,,,,
,,,,,,s2_adaptive_h_sensitivity,,0.48534798534798534,0.010281603652898088,,slope_0.033,90.0,0.033,27.0,81.0,,,,,,,,,
,,,,,,s2_adaptive_h_sensitivity,,0.4578754578754578,0.016322038804883945,,slope_0.057,90.0,0.057,27.0,81.0,,,,,,,,,
,,,,,,s2_adaptive_h_sensitivity,,0.5537240537240538,0.0027318456540163646,,slope_0.107,90.0,0.107,27.0,81.0,,,,,,,,,
,,,,,,s2_adaptive_h_sensitivity,,0.5775335775335775,0.0016079832235777977,,slope_0.131,90.0,0.131,27.0,81.0,,,,,,,,,
,,,,,,s3_legacy_fixed_h_crossref,,0.09558823529411767,0.7151579154299805,,,,,17.0,,h0.12_local_adaptive_d1.0,0.12,local_adaptive,81.0,51.0,,,,
,,,,,,s3_legacy_fixed_h_crossref,,0.01715686274509804,0.9478908818232219,,,,,17.0,,h0.15_local_adaptive_d1.0,0.15,local_adaptive,81.0,51.0,,,,
,,,,,,s3_legacy_fixed_h_crossref,,-0.019607843137254905,0.9404583435037518,,,,,17.0,,h0.18_local_adaptive_d1.0,0.18,local_adaptive,81.0,51.0,,,,
,,,,,,s3_legacy_fixed_h_crossref,,-0.24264705882352944,0.3480470322955878,,,,,17.0,,h0.21_local_adaptive_d1.0,0.21,local_adaptive,81.0,51.0,,,,
,,,,,,s3_legacy_fixed_h_crossref,,-0.3088235294117647,0.22778565332325174,,,,,17.0,,h0.25_local_adaptive_d1.0,0.25,local_adaptive,81.0,51.0,,,,
,,,,,,s3_legacy_fixed_h_crossref,,0.5833333333333334,0.013970829934522293,,,,,17.0,,h0.12_otsu_d1.0,0.12,otsu,81.0,51.0,,,,
,,,,,,s3_legacy_fixed_h_crossref,,0.5539215686274511,0.021049824867067697,,,,,17.0,,h0.15_otsu_d1.0,0.15,otsu,81.0,51.0,,,,
,,,,,,s3_legacy_fixed_h_crossref,,0.5514705882352942,0.021746579686423604,,,,,17.0,,h0.18_otsu_d1.0,0.18,otsu,81.0,51.0,,,,
,,,,,,s3_legacy_fixed_h_crossref,,0.6151960784313726,0.008575573424594187,,,,,17.0,,h0.21_otsu_d1.0,0.21,otsu,81.0,51.0,,,,
,,,,,,s3_legacy_fixed_h_crossref,,0.25490196078431376,0.3234600340651103,,,,,17.0,,h0.25_otsu_d1.0,0.25,otsu,81.0,51.0,,,,
,,S,,,,s4_shape_consistency,,-0.669108669108669,0.00013557264872196683,27.0,,,,,,,,,,,solidity,,,
,,M,,,,s4_shape_consistency,,-0.14957264957264954,0.4564952421988647,27.0,,,,,,,,,,,solidity,,,
,,L,,,,s4_shape_consistency,,-0.4072039072039072,0.035021136076035554,27.0,,,,,,,,,,,solidity,,,
,,S,,,,s4_shape_consistency,,0.6819291819291821,8.95515320829184e-05,27.0,,,,,,,,,,,roughness,,,
,,M,,,,s4_shape_consistency,,0.5463980463980465,0.0031910149604399414,27.0,,,,,,,,,,,roughness,,,
,,L,,,,s4_shape_consistency,,0.5347985347985348,0.004052519928953318,27.0,,,,,,,,,,,roughness,,,
,C01,,4.174725607225732,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,3.870791546133164,9.213178512111671,0.6119572698715358
,C02,,6.181622071984794,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.208679785659095,9.77164328274587,0.637223768280272
,C03,,8.188518536743857,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.08621916744697,9.4697353194502,0.6166685168388579
,C04,,4.078166000601167,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.140241406965356,10.238051716608435,0.6984891534528155
,C05,,6.085062465360228,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,3.8912374721731418,9.074313316252915,0.5937085732050141
,C06,,8.091958930119292,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.879321291024226,9.732584744931176,0.5559293761634535
,C07,,4.054026098945026,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.0156942680121945,9.422688717681089,0.6193578980147645
,C08,,6.060922563704088,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,3.935851422566431,9.65398923433004,0.6549986038675383
,C09,,8.06781902846315,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,3.9998532032338936,9.594620100662157,0.640866769464864
,C10,,10.435966857121558,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,3.967981355043056,9.831558786066882,0.6716583540691667
,C11,,15.435966857121558,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.0550261985540725,10.128950776573635,0.6957531017204539
,C12,,20.43596685712156,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.646043170628641,9.634226087709996,0.5713840683941988
,C13,,10.174386742848624,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.117175815757948,10.47710458162205,0.7285141770749258
,C14,,15.174386742848624,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,3.919687693400157,9.27838873842304,0.6138260074482111
,C15,,20.174386742848625,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.227492158576884,9.758642039901568,0.6335795969444082
,C16,,10.108991714280393,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.411221620440145,10.122680920957952,0.6542335968519825
,C17,,15.10899171428039,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.611754560525867,10.525241426110606,0.6773753568825588
,C18,,20.10899171428039,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.991872966174892,11.273942590428806,0.7195956041527966
,C19,,24.21446407057823,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,5.3062844292839735,11.819581827800263,0.7460821762332519
,C20,,35.77567253496972,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,5.303293287167072,11.327312601950805,0.690036576722077
,C21,,47.33688099936123,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,5.548999065682753,11.826358256378134,0.7190560355893907
,C22,,23.55923578550109,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,5.56328149565903,12.522535138943129,0.7971653657828291
,C23,,35.12044424989258,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,6.886587711776878,12.429594538251637,0.6349377808103962
,C24,,46.68165271428408,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.531904977172929,11.072225426422966,0.7491776001431886
,C25,,23.39542871423181,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,5.05820358973422,11.271113901373727,0.7116735752164384
,C26,,34.956637178623296,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,5.415826839329719,11.543832104568835,0.7019479112530489
,C27,,46.5178456430148,,,s2_mdagg_per_condition_default_combo,,,,,,,,,,,,,,,,4.830280523803874,11.44163562319878,0.7573144443751323
