target,n,n_cond,intercept,ln_Theta,L,M,S,r2_insample
compaction_density,81,27,3.3171875334223495,0.00017541601947019167,0.07494047619047596,0.06904761904761877,-0.14398809523809555,0.6734599685931502
D_sec,81,27,6.445694064675462,0.7598308324679215,1.9224920399352678,1.799120323326906,-3.7216123632622278,0.9289951244409848
D_XRD,51,17,25.68022146703545,14.482066105098866,-0.4384246725108532,-1.566147921422178,2.0045725939330317,0.6501837968503053
