section,target,group,term,metric,value,ci_low,ci_high,se,n,note
anova_interaction,D_f,,beta:t_hold,perm_p,0.9888022395520896,,,,81.0,
anova_interaction,D_f,,Residual,SS,0.00018424193365262909,,,,81.0,
anova_interaction,D_f,,Residual,df,48.0,,,,81.0,
anova_interaction,D_f,,Residual,MS,3.838373617763106e-06,,,,81.0,
anova_interaction,D_f,,Residual,F,,,,,81.0,
anova_interaction,D_f,,Residual,p_parametric,,,,,81.0,
anova_interaction,D_f,,Residual,eta2,0.28286678318962705,,,,81.0,
anova_interaction,D_f,,Residual,omega2,,,,,81.0,
anova_interaction,D_f,,Residual,perm_p,,,,,81.0,
anova_diagnostic,solidity,,,type_agreement,1.0,,,,81.0,Type I/II/III SS 是否一致(平衡正交设计下理论上必须一致)
anova_diagnostic,solidity,,,type_max_abs_diff,3.1899829999737506e-14,,,,81.0,
anova_interaction,solidity,,precursor,SS,0.05904123861378707,,,,81.0,
anova_interaction,solidity,,precursor,df,2.0,,,,81.0,
anova_interaction,solidity,,precursor,MS,0.029520619306893536,,,,81.0,
anova_interaction,solidity,,precursor,F,112.88246739219603,,,,81.0,
anova_interaction,solidity,,precursor,p_parametric,7.123968660931742e-19,,,,81.0,
anova_interaction,solidity,,precursor,eta2,0.6594646462720215,,,,81.0,
anova_interaction,solidity,,precursor,omega2,0.651718913406497,,,,81.0,
anova_interaction,solidity,,precursor,perm_p,0.0001999600079984003,,,,81.0,
anova_interaction,solidity,,T_C,SS,0.008485356156661794,,,,81.0,
anova_interaction,solidity,,T_C,df,2.0,,,,81.0,
anova_interaction,solidity,,T_C,MS,0.004242678078330897,,,,81.0,
anova_interaction,solidity,,T_C,F,16.223371361349997,,,,81.0,
anova_interaction,solidity,,T_C,p_parametric,4.145591971708311e-06,,,,81.0,
anova_interaction,solidity,,T_C,eta2,0.09477769314680981,,,,81.0,
anova_interaction,solidity,,T_C,omega2,0.08867661996784525,,,,81.0,
anova_interaction,solidity,,T_C,perm_p,0.020395920815836834,,,,81.0,
anova_interaction,solidity,,beta,SS,0.00017310433790385105,,,,81.0,
anova_interaction,solidity,,beta,df,2.0,,,,81.0,
anova_interaction,solidity,,beta,MS,8.655216895192552e-05,,,,81.0,
anova_interaction,solidity,,beta,F,0.33096264979637713,,,,81.0,
anova_interaction,solidity,,beta,p_parametric,0.719857927868306,,,,81.0,
anova_interaction,solidity,,beta,eta2,0.001933499256522344,,,,81.0,
anova_interaction,solidity,,beta,omega2,0.0,,,,81.0,
anova_interaction,solidity,,beta,perm_p,0.9280143971205759,,,,81.0,
anova_interaction,solidity,,t_hold,SS,0.0021186801005015354,,,,81.0,
anova_interaction,solidity,,t_hold,df,2.0,,,,81.0,
anova_interaction,solidity,,t_hold,MS,0.0010593400502507677,,,,81.0,
anova_interaction,solidity,,t_hold,F,4.050759146904332,,,,81.0,
anova_interaction,solidity,,t_hold,p_parametric,0.02368094014804325,,,,81.0,
anova_interaction,solidity,,t_hold,eta2,0.023664724112250395,,,,81.0,
anova_interaction,solidity,,t_hold,omega2,0.017770768580887632,,,,81.0,
anova_interaction,solidity,,t_hold,perm_p,0.395120975804839,,,,81.0,
anova_interaction,solidity,,precursor:T_C,SS,0.0011841277307382825,,,,81.0,
anova_interaction,solidity,,precursor:T_C,df,4.0,,,,81.0,
anova_interaction,solidity,,precursor:T_C,MS,0.0002960319326845706,,,,81.0,
anova_interaction,solidity,,precursor:T_C,F,1.131982179673021,,,,81.0,
anova_interaction,solidity,,precursor:T_C,p_parametric,0.35268990769906744,,,,81.0,
anova_interaction,solidity,,precursor:T_C,eta2,0.013226185517555564,,,,81.0,
anova_interaction,solidity,,precursor:T_C,omega2,0.0015376007471126264,,,,81.0,
anova_interaction,solidity,,precursor:T_C,perm_p,0.9024195160967806,,,,81.0,
anova_interaction,solidity,,precursor:beta,SS,0.0012701294687431641,,,,81.0,
anova_interaction,solidity,,precursor:beta,df,4.0,,,,81.0,
anova_interaction,solidity,,precursor:beta,MS,0.00031753236718579103,,,,81.0,
anova_interaction,solidity,,precursor:beta,F,1.2141966505576245,,,,81.0,
anova_interaction,solidity,,precursor:beta,p_parametric,0.31712800311807343,,,,81.0,
anova_interaction,solidity,,precursor:beta,eta2,0.014186787074429483,,,,81.0,
anova_interaction,solidity,,precursor:beta,omega2,0.0024954045367516302,,,,81.0,
anova_interaction,solidity,,precursor:beta,perm_p,0.8994201159768046,,,,81.0,
anova_interaction,solidity,,precursor:t_hold,SS,0.0011556237078664822,,,,81.0,
anova_interaction,solidity,,precursor:t_hold,df,4.0,,,,81.0,
anova_interaction,solidity,,precursor:t_hold,MS,0.00028890592696662054,,,,81.0,
anova_interaction,solidity,,precursor:t_hold,F,1.1047333913013875,,,,81.0,
anova_interaction,solidity,,precursor:t_hold,p_parametric,0.36520891929209265,,,,81.0,
anova_interaction,solidity,,precursor:t_hold,eta2,0.01290780812910945,,,,81.0,
anova_interaction,solidity,,precursor:t_hold,omega2,0.001220150637848352,,,,81.0,
anova_interaction,solidity,,precursor:t_hold,perm_p,0.910617876424715,,,,81.0,
anova_interaction,solidity,,T_C:beta,SS,0.0016087169104679333,,,,81.0,
anova_interaction,solidity,,T_C:beta,df,4.0,,,,81.0,
anova_interaction,solidity,,T_C:beta,MS,0.0004021792276169833,,,,81.0,
anova_interaction,solidity,,T_C:beta,F,1.5378736833170474,,,,81.0,
anova_interaction,solidity,,T_C:beta,p_parametric,0.20626353264099226,,,,81.0,
anova_interaction,solidity,,T_C:beta,eta2,0.017968659757517682,,,,81.0,
anova_interaction,solidity,,T_C:beta,omega2,0.006266262455806141,,,,81.0,
anova_interaction,solidity,,T_C:beta,perm_p,0.8514297140571886,,,,81.0,
anova_interaction,solidity,,T_C:t_hold,SS,0.0016797597834212752,,,,81.0,
anova_interaction,solidity,,T_C:t_hold,df,4.0,,,,81.0,
anova_interaction,solidity,,T_C:t_hold,MS,0.0004199399458553188,,,,81.0,
anova_interaction,solidity,,T_C:t_hold,F,1.6057880341834168,,,,81.0,
anova_interaction,solidity,,T_C:t_hold,p_parametric,0.18813412002146163,,,,81.0,
anova_interaction,solidity,,T_C:t_hold,eta2,0.018762177376427925,,,,81.0,
anova_interaction,solidity,,T_C:t_hold,omega2,0.007057468942094718,,,,81.0,
anova_interaction,solidity,,T_C:t_hold,perm_p,0.8372325534893021,,,,81.0,
anova_interaction,solidity,,beta:t_hold,SS,0.00025951770456345,,,,81.0,
anova_interaction,solidity,,beta:t_hold,df,4.0,,,,81.0,
anova_interaction,solidity,,beta:t_hold,MS,6.48794261408625e-05,,,,81.0,
anova_interaction,solidity,,beta:t_hold,F,0.24808929750535721,,,,81.0,
anova_interaction,solidity,,beta:t_hold,p_parametric,0.9094230560289158,,,,81.0,
anova_interaction,solidity,,beta:t_hold,eta2,0.00289869852427686,,,,81.0,
anova_interaction,solidity,,beta:t_hold,omega2,0.0,,,,81.0,
anova_interaction,solidity,,beta:t_hold,perm_p,0.9942011597680463,,,,81.0,
anova_interaction,solidity,,Residual,SS,0.012552788395453263,,,,81.0,
anova_interaction,solidity,,Residual,df,48.0,,,,81.0,
anova_interaction,solidity,,Residual,MS,0.0002615164249052763,,,,81.0,
anova_interaction,solidity,,Residual,F,,,,,81.0,
anova_interaction,solidity,,Residual,p_parametric,,,,,81.0,
anova_interaction,solidity,,Residual,eta2,0.14020912083307902,,,,81.0,
anova_interaction,solidity,,Residual,omega2,,,,,81.0,
anova_interaction,solidity,,Residual,perm_p,,,,,81.0,
anova_diagnostic,elongation,,,type_agreement,1.0,,,,81.0,Type I/II/III SS 是否一致(平衡正交设计下理论上必须一致)
anova_diagnostic,elongation,,,type_max_abs_diff,3.7409515047347186e-15,,,,81.0,
anova_interaction,elongation,,precursor,SS,0.10661271243490589,,,,81.0,
anova_interaction,elongation,,precursor,df,2.0,,,,81.0,
anova_interaction,elongation,,precursor,MS,0.053306356217452944,,,,81.0,
anova_interaction,elongation,,precursor,F,218.32729648796274,,,,81.0,
anova_interaction,elongation,,precursor,p_parametric,7.932566278692593e-25,,,,81.0,
anova_interaction,elongation,,precursor,eta2,0.8349766208720927,,,,81.0,
anova_interaction,elongation,,precursor,omega2,0.8295658879914692,,,,81.0,
anova_interaction,elongation,,precursor,perm_p,0.0001999600079984003,,,,81.0,
anova_interaction,elongation,,T_C,SS,4.607468530437586e-05,,,,81.0,
anova_interaction,elongation,,T_C,df,2.0,,,,81.0,
anova_interaction,elongation,,T_C,MS,2.303734265218793e-05,,,,81.0,
anova_interaction,elongation,,T_C,F,0.09435424021483323,,,,81.0,
anova_interaction,elongation,,T_C,p_parametric,0.9101287085352453,,,,81.0,
anova_interaction,elongation,,T_C,eta2,0.0003608508231762895,,,,81.0,
anova_interaction,elongation,,T_C,omega2,0.0,,,,81.0,
anova_interaction,elongation,,T_C,perm_p,0.9858028394321136,,,,81.0,
anova_interaction,elongation,,beta,SS,0.0005849601172691621,,,,81.0,
anova_interaction,elongation,,beta,df,2.0,,,,81.0,
anova_interaction,elongation,,beta,MS,0.00029248005863458104,,,,81.0,
anova_interaction,elongation,,beta,F,1.1979130634598092,,,,81.0,
anova_interaction,elongation,,beta,p_parametric,0.3106848268483973,,,,81.0,
anova_interaction,elongation,,beta,eta2,0.004581330039422509,,,,81.0,
anova_interaction,elongation,,beta,omega2,0.0007554592952075039,,,,81.0,
anova_interaction,elongation,,beta,perm_p,0.8390321935612878,,,,81.0,
anova_interaction,elongation,,t_hold,SS,0.0008295890357388203,,,,81.0,
anova_interaction,elongation,,t_hold,df,2.0,,,,81.0,
anova_interaction,elongation,,t_hold,MS,0.00041479451786941013,,,,81.0,
anova_interaction,elongation,,t_hold,F,1.6988774343350417,,,,81.0,
anova_interaction,elongation,,t_hold,p_parametric,0.1937002255705973,,,,81.0,
anova_interaction,elongation,,t_hold,eta2,0.0064972312771487675,,,,81.0,
anova_interaction,elongation,,t_hold,omega2,0.0026677039137762456,,,,81.0,
anova_interaction,elongation,,t_hold,perm_p,0.7796440711857628,,,,81.0,
anova_interaction,elongation,,precursor:T_C,SS,0.0021917768258052917,,,,81.0,
