sample_id,precursor,acf_old,edge_old,seg_old,acf_new,edge_new,seg_new
C01-L,L,0.2605166666666667,0.1314832191035683,False,0.20097,0.1408910778985507,False
C01-M,M,0.2009699999999999,0.1398902408344212,False,0.17864,0.1498466749698067,False
C01-S,S,0.3200633333333333,0.1254555591818973,False,0.2754033333333333,0.1340674064009661,False
C03-L,L,0.1860833333333333,0.1407397397193211,False,0.15631,0.1506972750603864,False
C03-M,M,0.2977333333333333,0.1273253916449086,False,0.2307433333333333,0.136526268115942,False
C03-S,S,0.2977333333333333,0.1247658459802001,False,0.2605166666666667,0.1333413534118357,False
C04-L,L,0.2530733333333333,0.1302470048683638,False,0.2009699999999999,0.138937481129227,False
C04-M,M,0.2158566666666666,0.1366575554830287,False,0.1637533333333333,0.1460574237620773,False
C04-S,S,0.3349499999999999,0.1203798139686684,False,0.2977333333333333,0.1281740640096618,False
C07-L,L,0.2084133333333333,0.1345913906114012,False,0.1637533333333333,0.1437811367753623,False
C07-M,M,0.2605166666666667,0.1285565063370322,False,0.2009699999999999,0.1370947501509661,False
C07-S,S,0.3423933333333333,0.1196187071638381,False,0.3051766666666666,0.1282273739432367,False
C09-L,L,0.1860833333333333,0.1388108375489556,False,0.1488666666666666,0.1482469051932367,False
C09-M,M,0.2381866666666666,0.1352798289273281,False,0.1935266666666666,0.1449482940821256,False
C09-S,S,0.33495,0.119982049608355,False,0.29029,0.1286656476449275,False
C12-L,L,0.24563,0.1272952193483464,False,0.1935266666666666,0.1358238035929951,False
C12-M,M,0.2381866666666666,0.1331214473183203,False,0.17864,0.142253547705314,False
C12-S,S,0.3275066666666666,0.1188652496736292,False,0.3051766666666666,0.1262855714070048,False
C14-L,L,0.2158566666666666,0.1345714174010008,False,0.1637533333333333,0.1444557669082125,False
C14-M,M,0.2232999999999999,0.129365633839208,False,0.1860833333333333,0.1377075785024154,False
C14-S,S,0.3126199999999999,0.121649175233899,False,0.26796,0.1293020644625603,False
C15-L,L,0.2232999999999999,0.1281986883975195,False,0.1860833333333333,0.1365229657306763,False
C15-M,M,0.2828466666666666,0.1248703866133594,False,0.2381866666666666,0.133113960597826,False
C15-S,S,0.3200633333333333,0.1165921283453002,False,0.2754033333333333,0.1244598241243961,False
C16-L,L,0.24563,0.1203857634355961,False,0.2158566666666666,0.1284679762983092,False
C16-M,M,0.3051766666666666,0.1261847938424717,False,0.24563,0.1350491583635265,False
C16-S,S,0.3498366666666666,0.1170829593668407,True,0.2977333333333333,0.1249098920591787,False
C17-L,L,0.3200633333333333,0.1135986965567885,False,0.2828466666666667,0.1215079634661835,False
C17-M,M,0.2977333333333333,0.112905583659704,True,0.2530733333333333,0.120835220410628,False
C17-S,S,0.4019399999999999,0.1021119757669712,True,0.35728,0.1087730223429951,True
C18-L,L,0.3051766666666666,0.1060840948651001,False,0.26796,0.1130562160326087,False
C18-M,M,0.3126199999999999,0.1121521261694952,True,0.26796,0.1193293327294686,False
C18-S,S,0.3870533333333333,0.1031276347639251,True,0.3498366666666666,0.1089938103864734,True
C19-L,L,0.3423933333333333,0.1074477976773281,True,0.2977333333333333,0.1145399305555555,True
C19-M,M,0.31262,0.0977599407093124,True,0.2828466666666666,0.1035953540157004,False
C19-S,S,0.37961,0.0975389605091383,True,0.3275066666666666,0.1037533967391304,True
C21-L,L,0.2977333333333333,0.0887150511314186,True,0.2754033333333333,0.0941811971618357,False
C21-M,M,0.3647233333333333,0.0911772805156658,True,0.3498366666666667,0.095839466334541,True
C21-S,S,0.4168266666666666,0.08500173384464753,True,0.40193999999999996,0.08927526796497583,True
C24-L,L,0.32750666666666667,0.10941324657310704,True,0.26796,0.11711201690821256,False
C24-M,M,0.32750666666666667,0.10813156141209747,True,0.2754033333333333,0.11590192859299515,False
C24-S,S,0.3423933333333333,0.10639771676457789,True,0.30517666666666665,0.11356525513285025,False
C25-L,L,0.2754033333333333,0.12328995322019147,False,0.22329999999999997,0.1319519927536232,False
C25-M,M,0.23074333333333333,0.12705766563315926,False,0.20096999999999998,0.1359686367753623,False
C25-S,S,0.35728,0.1108177457299826,True,0.31261999999999995,0.11885803517512077,False
C26-L,L,0.42427,0.08321434399477806,True,0.39449666666666666,0.09016596844806764,True
C26-M,M,0.39449666666666666,0.08862368431788513,True,0.35728,0.09477468297101449,True
C26-S,S,0.42427,0.08695060922541341,True,0.37961,0.09184593900966183,True
C27-L,L,0.26796,0.12263381201044386,False,0.21585666666666667,0.1326077521135266,False
C27-M,M,0.20841333333333334,0.1289177239719321,False,0.17864,0.13790524984903382,False
C27-S,S,0.31262,0.11243897546779807,True,0.2754033333333333,0.12035826162439613,False
