sample_id,n_particles,D10_num,D50_num,D90_num,Span_num,D10_vol,D50_vol,D90_vol,Span_vol,n_carry50vol,n_carry90vol,BIC1,BIC2,dBIC,mode1_um,mode2_um,w1_num,w2_num,w1_vol,w2_vol,separation,n_local_maxima,density_bimodal,condition_id,precursor,Theta,T_C,beta,t_hold
C07-L,492,5.544420210155283,9.431110863056064,14.04564397783938,0.9014021668418127,8.616876510476974,12.669447396054121,16.54027474755749,0.6253941461999555,94,301,355.4579734845689,345.36025340886914,-10.097720075699783,6.356263459449336,10.996905588404722,0.33496707756864486,0.6650329224313553,0.08889765870543477,0.9111023412945652,2.4330387210506337,1,False,C07,L,4.054026098945026,850.0,8.0,10.0
C04-L,447,6.204735240007361,10.261253342634102,14.53677395662676,0.8119903522897071,8.954462932829264,13.172434290331585,17.498511439522822,0.6486309453799888,92,276,265.8986742154102,243.69224898338484,-22.206425232025367,7.32912726392711,12.345818478474751,0.4367917295540483,0.5632082704459517,0.14254766574745056,0.8574523342525494,2.721031088361507,2,True,C04,L,4.078166000601167,850.0,5.0,10.0
C01-L,500,5.871427426613504,9.199386320977345,13.929016644280894,0.8758833400977719,8.221537948019126,12.273775570367489,15.857195058291662,0.6221115146269468,99,316,284.55929672811936,284.55519064687473,-0.004106081244628967,7.164975310640122,11.49162175481902,0.4840966231202792,0.5159033768797208,0.19304344564244696,0.8069565543575531,2.2185354634785512,1,False,C01,L,4.174725607225732,850.0,2.0,10.0
C08-L,491,5.43219566414868,9.645761864079589,14.177484751199193,0.9066457590683014,8.677330256954411,13.182292253220186,18.02843067401522,0.7093683129940098,91,289,394.9734156881733,384.11854289427436,-10.854872793898949,6.607960812176446,11.59161893070836,0.4047623154572794,0.5952376845427206,0.11438046285823568,0.8856195371417643,2.463350058230022,2,True,C08,L,6.060922563704088,850.0,8.0,15.0
C05-L,537,5.695793458191785,9.07606207587003,13.741332437421114,0.8864570241999017,8.169852452120466,12.18579421013854,15.960864492643385,0.6393520115447889,104,336,326.4907863504058,330.41032950140715,3.919543151001335,6.97468769254263,11.137530132141494,0.45730151529116275,0.5426984847088373,0.17867904888176378,0.8213209511182362,2.069178219714589,1,False,C05,L,6.085062465360228,850.0,5.0,15.0
C02-L,468,6.025121807837057,9.765146176627098,14.072752792514862,0.8241178205749577,8.662212392655242,12.619065892200812,17.005624814113766,0.6611751212595818,94,295,257.301823064436,255.61443791980497,-1.6873851446310368,7.0593946509228545,11.501359832737556,0.38836467334919894,0.611635326650801,0.1279091353309743,0.8720908646690256,2.3757511054025353,1,False,C02,L,6.181622071984794,850.0,2.0,15.0
C09-L,495,6.060318142334833,9.59627406039078,14.197605635274257,0.8479632242399774,8.488587124666441,12.74091778162839,15.743645270250942,0.5694297906894779,105,311,266.3959774607697,237.86659048571298,-28.529386975056724,7.143347312698924,11.843235328073227,0.4445589832696049,0.555441016730395,0.1521812234311159,0.8478187765688842,2.7039799159327775,2,True,C09,L,8.06781902846315,850.0,8.0,20.0
C06-L,474,6.125443280890184,9.63424017327696,14.576674831663222,0.8772078958769058,8.753413789967295,13.032436026705248,17.93378550312957,0.7044248438550118,88,295,283.1700800974288,291.4242831770602,8.254203079631395,7.5296447013848145,12.006178708625173,0.46734251333285987,0.5326574866671401,0.18033438561401405,0.819665614385986,2.0948181522558627,1,False,C06,L,8.091958930119292,850.0,5.0,20.0
C03-L,492,5.95089916808338,9.461355016144312,13.911676032042765,0.841399234081754,8.204719198490626,12.660348492016855,15.136583045779657,0.5475255165100714,104,307,283.37427030211194,250.24813660558448,-33.12613369652746,7.273243752628247,12.17376900726749,0.5161813704522088,0.4838186295477911,0.19833634728232577,0.8016636527176741,2.753161300325317,2,True,C03,L,8.188518536743857,850.0,2.0,20.0
C16-L,440,6.507387958541733,10.113268849261242,15.21430486945408,0.8609399236477703,9.052724063147352,13.834308184839262,18.324501090099908,0.6702017117930992,84,273,268.759544645046,271.98010552723173,3.2205608821857368,7.909788067910468,12.823502618106682,0.5006660413567613,0.49933395864323865,0.1967603170372619,0.8032396829627381,2.239918552105158,2,True,C16,L,10.108991714280393,900.0,8.0,10.0
