target,model,R2_loco,MAE_loco,n_folds,n_eval,ln_Theta_coef,Theta_coef
compaction_density,lnTheta+Theta (existing),0.6309392470219628,0.0628158563809303,27,81,-0.0347632216899977,0.0021321915192129
compaction_density,lnTheta only (new),0.6371728177751338,0.06190856370793376,27,81,0.00017541601947019167,
D_sec,lnTheta+Theta (existing),0.9180231220243612,0.621809665637488,27,81,0.7548867965688706,0.0003017184442707
D_sec,lnTheta only (new),0.9214152580336895,0.6078356008632809,27,81,0.7598308324679215,
D_XRD,lnTheta+Theta (existing),0.4941879762894223,8.788079539642007,17,51,13.513404129129954,0.0596330351008311
D_XRD,lnTheta only (new),0.5621112935904966,8.254547325158532,17,51,14.482066105098866,
