sample_id,precursor,Theta,Lbar_um,Lbar_sd,n_img,cv
C01-L,L,4.174725607225732,0.5800492326915544,0.1318928235355316,3,0.2273821187962275
C01-M,M,4.174725607225732,0.4768912220972063,0.0861459415565392,3,0.1806406525532143
C01-S,S,4.174725607225732,0.6541206779333979,0.0582892777218917,3,0.0891108929716891
C03-L,L,8.188518536743857,0.4347957922717416,0.0140634127286177,3,0.0323448685074402
C03-M,M,8.188518536743857,0.4420687240533716,0.0201661061553901,3,0.0456175817426872
C03-S,S,8.188518536743857,0.7174583086545264,0.0484693114134169,3,0.0675569727588952
C04-L,L,4.078166000601167,0.4395838379288219,0.0194494357440016,3,0.0442451110933495
C04-M,M,4.078166000601167,0.4012518811149767,0.0257169906410319,3,0.0640918880419225
C04-S,S,4.078166000601167,0.6923934069353707,0.1030978642304215,3,0.1489007018231831
C07-L,L,4.054026098945026,0.4459811249568952,0.0413801420176459,3,0.0927845141913695
C07-M,M,4.054026098945026,0.477283506440808,0.0605062959223265,3,0.1267722330770096
C07-S,S,4.054026098945026,0.8160622452255698,0.0232894978127588,3,0.028538874269721
C09-L,L,8.06781902846315,0.3994648151691498,0.0095898932978774,3,0.0240068535042735
C09-M,M,8.06781902846315,0.4484395577440563,0.0318619729705932,3,0.0710507635206844
C09-S,S,8.06781902846315,0.6637414073487119,0.0669473214547174,3,0.1008635602864311
C12-L,L,20.43596685712156,0.4372131765920651,0.0269093252283453,3,0.061547379331279
C12-M,M,20.43596685712156,0.462704001508039,0.0178445721335327,3,0.0385658478754754
C12-S,S,20.43596685712156,0.619148706507731,0.0800860339657991,3,0.1293486251752335
C14-L,L,15.174386742848624,0.43657867558622,0.0351704831851004,3,0.0805593244742771
C14-M,M,15.174386742848624,0.4455724439088784,0.0332961350905711,3,0.0747266478116864
C14-S,S,15.174386742848624,0.6260115566928784,0.0524218532739156,3,0.0837394337428083
C15-L,L,20.174386742848625,0.4465342314181791,0.0251426886566846,3,0.0563062961082114
C15-M,M,20.174386742848625,0.4953670725806369,0.027202236792103,3,0.0549132921782463
