precursor,size_um,volume_pct,D50_um
L,0.166,0.0,12.4
L,0.188,0.0,12.4
L,0.214,0.0,12.4
L,0.243,0.0,12.4
L,0.276,0.0,12.4
L,0.314,0.0,12.4
L,0.357,0.0,12.4
L,0.405,0.0,12.4
L,0.46,0.0,12.4
L,0.523,0.0,12.4
L,0.594,0.0,12.4
L,0.675,0.0,12.4
L,0.767,0.0,12.4
L,0.872,0.0,12.4
L,0.991,0.0,12.4
L,1.13,0.0,12.4
L,1.28,0.0,12.4
L,1.45,0.0,12.4
L,1.65,0.0,12.4
L,1.88,0.0,12.4
L,2.13,0.0,12.4
L,2.42,0.0,12.4
L,2.75,0.0,12.4
L,3.12,0.0,12.4
L,3.55,0.0,12.4
L,4.03,0.0,12.4
L,4.58,0.0,12.4
L,5.21,0.0,12.4
L,5.92,0.05,12.4
L,6.72,0.59,12.4
L,7.64,3.07,12.4
L,8.68,9.1,12.4
L,9.86,17.65,12.4
L,11.2,23.78,12.4
L,12.7,22.6,12.4
L,14.5,14.94,12.4
L,16.4,6.54,12.4
L,18.7,1.69,12.4
L,21.2,0.0,12.4
L,24.1,0.0,12.4
L,27.4,0.0,12.4
L,31.1,0.0,12.4
L,35.3,0.0,12.4
L,40.1,0.0,12.4
L,45.6,0.0,12.4
L,51.8,0.0,12.4
L,58.9,0.0,12.4
L,66.9,0.0,12.4
L,76.0,0.0,12.4
L,86.4,0.0,12.4
L,98.1,0.0,12.4
L,111.0,0.0,12.4
L,127.0,0.0,12.4
L,144.0,0.0,12.4
L,163.0,0.0,12.4
L,186.0,0.0,12.4
L,211.0,0.0,12.4
L,240.0,0.0,12.4
L,272.0,0.0,12.4
L,310.0,0.0,12.4
L,352.0,0.0,12.4
L,400.0,0.0,12.4
L,454.0,0.0,12.4
L,516.0,0.0,12.4
L,586.0,0.0,12.4
L,666.0,0.0,12.4
L,756.0,0.0,12.4
L,859.0,0.0,12.4
L,976.0,0.0,12.4
L,1110.0,0.0,12.4
L,1260.0,0.0,12.4
L,1430.0,0.0,12.4
L,1630.0,0.0,12.4
L,1850.0,0.0,12.4
L,2100.0,0.0,12.4
L,2390.0,0.0,12.4
L,2710.0,0.0,12.4
L,3080.0,0.0,12.4
