subset_id,subset_label,subset_group,term,eta2_pct
baseline_81,"Base
(81)",baseline,precursor,67.43189236383077
drop_T950,-T950,T_C,precursor,74.30226665038572
drop_T900,-T900,T_C,precursor,65.95955063272032
drop_T850,-T850,T_C,precursor,66.26895742560237
drop_beta8,-β8,beta,precursor,66.7838708973227
drop_beta5,-β5,beta,precursor,76.0563118944512
drop_beta2,-β2,beta,precursor,61.77135202422394
drop_thold20,-t20,t_hold,precursor,63.25448941870192
drop_thold15,-t15,t_hold,precursor,78.38810696116721
drop_thold10,-t10,t_hold,precursor,62.2149934837304
drop_precursor_S,-S,precursor,precursor,0.23799897289333
drop_precursor_M,-M,precursor,precursor,67.95160896568504
drop_precursor_L,-L,precursor,precursor,66.41271242631093
baseline_81,"Base
(81)",baseline,T_C,7.6126681239604
drop_T950,-T950,T_C,T_C,6.93626465802009
drop_T900,-T900,T_C,T_C,0.152434899503
drop_T850,-T850,T_C,T_C,10.02496210142324
drop_beta8,-β8,beta,T_C,7.11378574574228
drop_beta5,-β5,beta,T_C,3.3713148893831097
drop_beta2,-β2,beta,T_C,13.93777255438886
drop_thold20,-t20,t_hold,T_C,8.99452282434925
drop_thold15,-t15,t_hold,T_C,4.78933010001888
drop_thold10,-t10,t_hold,T_C,11.62284603141992
drop_precursor_S,-S,precursor,T_C,22.78015145384702
drop_precursor_M,-M,precursor,T_C,9.18624942362522
drop_precursor_L,-L,precursor,T_C,7.13445451478701
baseline_81,"Base
(81)",baseline,beta,1.7058063386689402
drop_T950,-T950,T_C,beta,1.34828122542956
drop_T900,-T900,T_C,beta,5.093377650695221
drop_T850,-T850,T_C,beta,1.44480903233059
drop_beta8,-β8,beta,beta,0.71891240701116
drop_beta5,-β5,beta,beta,0.61515392764347
drop_beta2,-β2,beta,beta,2.38166115114858
drop_thold20,-t20,t_hold,beta,1.98091891066588
drop_thold15,-t15,t_hold,beta,1.78688464154144
drop_thold10,-t10,t_hold,beta,1.71821021493712
drop_precursor_S,-S,precursor,beta,7.2807142154403
drop_precursor_M,-M,precursor,beta,1.22722628595567
drop_precursor_L,-L,precursor,beta,1.88853482230602
baseline_81,"Base
(81)",baseline,t_hold,1.01131230578937
drop_T950,-T950,T_C,t_hold,0.0221363951539899
drop_T900,-T900,T_C,t_hold,1.9541432527218
drop_T850,-T850,T_C,t_hold,3.8377875467083897
drop_beta8,-β8,beta,t_hold,0.59224857992449
drop_beta5,-β5,beta,t_hold,0.76898589766943
drop_beta2,-β2,beta,t_hold,1.9511799090744304
drop_thold20,-t20,t_hold,t_hold,0.16618056026123
drop_thold15,-t15,t_hold,t_hold,0.64229127581136
drop_thold10,-t10,t_hold,t_hold,1.4596305413593
drop_precursor_S,-S,precursor,t_hold,1.7208484040412202
drop_precursor_M,-M,precursor,t_hold,2.79016989303189
drop_precursor_L,-L,precursor,t_hold,0.6227610629161799
baseline_81,"Base
(81)",baseline,coupling_total,3.197298498817
drop_T950,-T950,T_C,coupling_total,2.74607807155943
drop_T900,-T900,T_C,coupling_total,5.30421586225506
drop_T850,-T850,T_C,coupling_total,3.45728357682652
drop_beta8,-β8,beta,coupling_total,4.405362829691859
drop_beta5,-β5,beta,coupling_total,3.5130281704517
drop_beta2,-β2,beta,coupling_total,4.26876179134046
drop_thold20,-t20,t_hold,coupling_total,4.12780641662068
drop_thold15,-t15,t_hold,coupling_total,1.84935238360363
drop_thold10,-t10,t_hold,coupling_total,4.014087420619241
drop_precursor_S,-S,precursor,coupling_total,7.918874913966429
drop_precursor_M,-M,precursor,coupling_total,0.66808922324158
drop_precursor_L,-L,precursor,coupling_total,4.09661615736845
