subset_id,subset_label,subset_group,term,eta2_pct
baseline_81,"Base
(81)",baseline,precursor,65.94646462720468
drop_T950,-T950,T_C,precursor,76.32458239802534
drop_T900,-T900,T_C,precursor,57.38666594310953
drop_T850,-T850,T_C,precursor,70.09540977213979
drop_beta8,-β8,beta,precursor,68.21626196065141
drop_beta5,-β5,beta,precursor,64.96070193077482
drop_beta2,-β2,beta,precursor,65.69055715637033
drop_thold20,-t20,t_hold,precursor,70.59956716653659
drop_thold15,-t15,t_hold,precursor,67.30754221344566
drop_thold10,-t10,t_hold,precursor,62.41532837226418
drop_precursor_S,-S,precursor,precursor,67.64668645084689
drop_precursor_M,-M,precursor,precursor,62.24022240737804
drop_precursor_L,-L,precursor,precursor,14.140620457796018
baseline_81,"Base
(81)",baseline,T_C,9.47776931463486
drop_T950,-T950,T_C,T_C,0.0984021075179
drop_T900,-T900,T_C,T_C,11.56211433088837
drop_T850,-T850,T_C,T_C,10.566644977252231
drop_beta8,-β8,beta,T_C,14.92002937878981
drop_beta5,-β5,beta,T_C,7.06155738297752
drop_beta2,-β2,beta,T_C,7.47903652895215
drop_thold20,-t20,t_hold,T_C,8.86516687766207
drop_thold15,-t15,t_hold,T_C,9.16775484952766
drop_thold10,-t10,t_hold,T_C,11.94935643371937
drop_precursor_S,-S,precursor,T_C,6.455503508675201
drop_precursor_M,-M,precursor,T_C,16.530710526136698
drop_precursor_L,-L,precursor,T_C,20.93057839275767
baseline_81,"Base
(81)",baseline,beta,0.19334992565226
drop_T950,-T950,T_C,beta,0.21588432201253
drop_T900,-T900,T_C,beta,0.43094310037301
drop_T850,-T850,T_C,beta,1.40534606648316
drop_beta8,-β8,beta,beta,0.06929373401487
drop_beta5,-β5,beta,beta,0.07515179749831
drop_beta2,-β2,beta,beta,0.29364454876056
drop_thold20,-t20,t_hold,beta,0.28452935776084
drop_thold15,-t15,t_hold,beta,0.15836264542606
drop_thold10,-t10,t_hold,beta,0.37111351913817
drop_precursor_S,-S,precursor,beta,0.84368845034767
drop_precursor_M,-M,precursor,beta,0.22980515636992
drop_precursor_L,-L,precursor,beta,1.06567810409228
baseline_81,"Base
(81)",baseline,t_hold,2.36647241122541
drop_T950,-T950,T_C,t_hold,2.84732957694169
drop_T900,-T900,T_C,t_hold,3.814771991815781
drop_T850,-T850,T_C,t_hold,1.95755244533642
drop_beta8,-β8,beta,t_hold,2.23171114384508
drop_beta5,-β5,beta,t_hold,1.6089741137155795
drop_beta2,-β2,beta,t_hold,3.4748658025057098
drop_thold20,-t20,t_hold,t_hold,1.988140858998
drop_thold15,-t15,t_hold,t_hold,0.21430268641173
drop_thold10,-t10,t_hold,t_hold,3.31955511303904
drop_precursor_S,-S,precursor,t_hold,3.90228558342128
drop_precursor_M,-M,precursor,t_hold,2.13196113391699
drop_precursor_L,-L,precursor,t_hold,3.38292553753596
baseline_81,"Base
(81)",baseline,coupling_total,4.03207807211008
drop_T950,-T950,T_C,coupling_total,3.86617580197215
drop_T900,-T900,T_C,coupling_total,5.1673534741177205
drop_T850,-T850,T_C,coupling_total,5.16397094614932
drop_beta8,-β8,beta,coupling_total,2.62897175348492
drop_beta5,-β5,beta,coupling_total,4.30696781676468
drop_beta2,-β2,beta,coupling_total,5.34621456320655
drop_thold20,-t20,t_hold,coupling_total,4.5176200941799
drop_thold15,-t15,t_hold,coupling_total,2.9153885916162
drop_thold10,-t10,t_hold,coupling_total,6.49259514752628
drop_precursor_S,-S,precursor,coupling_total,2.1989733543578303
drop_precursor_M,-M,precursor,coupling_total,2.41614060965657
drop_precursor_L,-L,precursor,coupling_total,13.22426131281268
