sample_id,hkl,precursor,cos_theta,residual_deg,is_ool_family
C07-L,113,L,0.8443170080222389,-0.0027452719646845,False
C09-S,3,S,0.9896369582781972,-0.0211016448987173,True
C09-S,6,S,0.9575636326271022,0.0013022991065341,True
C09-S,101,S,0.953483372312068,0.002534012193351,False
C09-S,12,S,0.9498444245570148,-0.0001308000936788,False
C09-S,104,S,0.935113952405328,0.0003761541546936,False
C09-S,15,S,0.9239060533834548,0.0017210832923879,False
C09-S,107,S,0.8933365953408177,0.0012828351293379,False
C09-S,18,S,0.8736885970860392,-0.0002527015461026,False
C09-S,110,S,0.8566235403302829,0.0041561140377837,False
C09-S,113,S,0.8444147089587243,-0.0054115627221733,False
C09-M,3,M,0.9896284593635546,-0.0158278733879591,True
C09-M,6,M,0.957562358246594,-0.002660902343031,True
C09-M,101,M,0.953479475433026,0.0029899216595552,False
C09-M,12,M,0.9498453194917178,-0.0018543746252319,False
C09-M,104,M,0.9351038928215932,0.0009146906754509,False
C09-M,15,M,0.9238774547713664,0.0066988950573048,False
C09-M,107,M,0.8933164280517782,0.0007844220852462,False
C09-M,18,M,0.8736640270511258,-0.0012782300222866,False
C09-M,110,M,0.8566423116000319,-0.0029264922954936,False
C09-M,113,M,0.8443682639200525,0.0008291088646217,False
C09-L,3,L,0.9896343346233072,-0.0205713633506832,True
C09-L,6,L,0.9575865590396784,-0.0081578050265989,True
C09-L,101,L,0.9534745319869472,0.0043435960994884,False
C09-L,12,L,0.9498365613704516,0.0013451637759871,False
C09-L,104,L,0.93510090628293,0.0037114713272572,False
C09-L,15,L,0.923893375154311,0.0049820428599574,False
C09-L,107,L,0.8933364054021733,0.0016205168409797,False
C09-L,18,L,0.8736891953237601,0.0003696999791955,False
C09-L,110,L,0.8566570584950711,-0.0038613544851315,False
C09-L,113,L,0.8443893359068112,-0.00024490585605,False
C12-S,3,S,0.9896231557809247,-0.0127480677911862,True
C12-S,6,S,0.9575342583039012,0.0030508839149518,True
C12-S,101,S,0.9535047361767068,0.0009397249086475,False
C12-S,12,S,0.9498641611889432,-0.0020033658245495,False
C12-S,104,S,0.9351316652810538,-0.0040291309291617,False
C12-S,15,S,0.9238916064602604,0.0047968414096501,False
C12-S,107,S,0.8933061977879855,0.0019653634245813,False
C12-S,18,S,0.8736516298218253,-0.0018075498083405,False
C12-S,110,S,0.8566599298016884,0.005596915731985,False
C12-S,113,S,0.8444490609258201,-0.0055114372689502,False
C12-M,3,M,0.9896240042870944,-0.0149017369167587,True
C12-M,6,M,0.957549583077949,-0.0015650996128471,True
C12-M,101,M,0.953487862180152,0.0022667596527199,False
C12-M,12,M,0.949850239616014,-0.0015193878523618,False
C12-M,104,M,0.9351144368950012,-0.0014476687648112,False
C12-M,15,M,0.9238772318016684,0.0071498377970726,False
C12-M,107,M,0.8933095759689669,0.0015033892295548,False
C12-M,18,M,0.873657975646905,-0.0016105676219169,False
C12-M,110,M,0.8566584403206486,-0.0002639713878167,False
C12-M,113,M,0.8444049160121987,-0.0013411988528417,False
C12-L,3,L,0.989615634585954,-0.0186635603142484,True
C12-L,6,L,0.957542580849008,-0.0081084136927813,True
C12-L,101,L,0.9534754419479108,0.0007838926098884,False
C12-L,12,L,0.9498332151225296,-0.0014896380780555,False
C12-L,104,L,0.935091769814613,-0.0002738862011142,False
C12-L,15,L,0.923832247074581,0.0145493383999664,False
C12-L,107,L,0.8932845568025232,0.0021545449992714,False
C12-L,18,L,0.8736358568695659,-0.0018650460120284,False
C12-L,110,L,0.8566537523134473,-0.0005151809812389,False
C12-L,113,L,0.8444076130845352,-0.0031163441711896,False
C14-S,3,S,0.9896229964979912,-0.0060422533244839,True
C14-S,6,S,0.9575305993819152,0.0068463118399932,True
C14-S,101,S,0.953521129016571,0.0011854940376494,False
C14-S,12,S,0.9498783478415652,-0.0012280419013421,False
C14-S,104,S,0.9351436213772504,-0.0037290622607031,False
C14-S,15,S,0.9239301029228472,-0.0037703548297756,False
C14-S,107,S,0.893299277043486,0.0038301467141295,False
C14-S,18,S,0.8736478973299409,-0.0024735889771037,False
C14-S,110,S,0.8566754680705397,0.0051728085827917,False
C14-S,113,S,0.8444487709846293,-0.0035033701999793,False
C14-M,3,M,0.989624744816106,-0.0114819681970708,True
C14-M,6,M,0.957565021620352,-0.0003986937782372,True
C14-M,101,M,0.9534711825151474,0.0010198894053132,False
C14-M,12,M,0.9498290361264377,-0.0005679003766729,False
