precursor,n,median,mean,std,q25,q75,min,max
S,20679,0.8676498419852721,0.8482469429977265,0.0976646209595404,0.796891096964659,0.9214436283293128,0.3490334421797324,0.9994264441819124
M,9543,0.8769532755173688,0.8591183582590486,0.0839971783469065,0.8226328989120191,0.9165055318544046,0.3448084327148845,0.9986258780806224
L,10191,0.8749553259653864,0.8516173523792531,0.0957372756118432,0.8097183677430251,0.918562860450961,0.2789908601398789,0.9998644074247776
all,40413,0.8721811625474699,0.8516640057707437,0.0942165948218258,0.8061764705722738,0.919285001943542,0.2789908601398789,0.9998644074247776
