series,q_ref_kjmol,spearman_rho,p
D_XRD,150,0.7665195358622162,5.5061853908017567e-11
D_XRD,175,0.8179108775713182,2.36748240590043e-13
D_XRD,180,0.8179108775713182,2.36748240590043e-13
D_XRD,200,0.8179108775713182,2.36748240590043e-13
D_XRD,220,0.8179108775713182,2.36748240590043e-13
D_XRD,225,0.8179108775713182,2.36748240590043e-13
D_XRD,250,0.8179108775713182,2.36748240590043e-13
M_D_agg,150,0.4652014652014652,0.0144805659265071
M_D_agg,175,0.557997557997558,0.0024910892402369
M_D_agg,180,0.557997557997558,0.0024910892402369
M_D_agg,200,0.557997557997558,0.0024910892402369
M_D_agg,220,0.557997557997558,0.0024910892402369
M_D_agg,225,0.557997557997558,0.0024910892402369
M_D_agg,250,0.557997557997558,0.0024910892402369
