subset_id,subset_label,subset_group,term,eta2_pct
baseline_81,"Base
(81)",baseline,precursor,77.10656443879151
drop_T950,-T950,T_C,precursor,91.68594335336113
drop_T900,-T900,T_C,precursor,70.56986925797334
drop_T850,-T850,T_C,precursor,77.12801146699049
drop_beta8,-β8,beta,precursor,74.58289146971356
drop_beta5,-β5,beta,precursor,79.50210834481545
drop_beta2,-β2,beta,precursor,77.59907755976701
drop_thold20,-t20,t_hold,precursor,77.25493970158546
drop_thold15,-t15,t_hold,precursor,79.00255170463848
drop_thold10,-t10,t_hold,precursor,75.72275442215701
drop_precursor_S,-S,precursor,precursor,48.2878226137636
drop_precursor_M,-M,precursor,precursor,60.2640133828026
drop_precursor_L,-L,precursor,precursor,83.28763015487418
baseline_81,"Base
(81)",baseline,T_C,12.07542119773364
drop_T950,-T950,T_C,T_C,1.14164537230779
drop_T900,-T900,T_C,T_C,16.90224447765036
drop_T850,-T850,T_C,T_C,10.43851222822004
drop_beta8,-β8,beta,T_C,15.615754385286651
drop_beta5,-β5,beta,T_C,11.34456575072608
drop_beta2,-β2,beta,T_C,9.80641662204588
drop_thold20,-t20,t_hold,T_C,13.533220441173
drop_thold15,-t15,t_hold,T_C,10.70560960719858
drop_thold10,-t10,t_hold,T_C,12.29498188755926
drop_precursor_S,-S,precursor,T_C,23.72265888422933
drop_precursor_M,-M,precursor,T_C,25.192971895277783
drop_precursor_L,-L,precursor,T_C,8.415297446097881
baseline_81,"Base
(81)",baseline,beta,0.05380602125294
drop_T950,-T950,T_C,beta,0.5517584013469601
drop_T900,-T900,T_C,beta,0.40974564393858
drop_T850,-T850,T_C,beta,0.0084467286597959
drop_beta8,-β8,beta,beta,0.07449273363629
drop_beta5,-β5,beta,beta,0.03212223663713
drop_beta2,-β2,beta,beta,0.0114738069330399
drop_thold20,-t20,t_hold,beta,0.11792283415264
drop_thold15,-t15,t_hold,beta,0.09172316070711
drop_thold10,-t10,t_hold,beta,0.054378402949
drop_precursor_S,-S,precursor,beta,0.13263114334636
drop_precursor_M,-M,precursor,beta,0.0544849187082399
drop_precursor_L,-L,precursor,beta,0.1023449789734399
baseline_81,"Base
(81)",baseline,t_hold,0.45870883477885
drop_T950,-T950,T_C,t_hold,0.08865833036551
drop_T900,-T900,T_C,t_hold,1.28975814618489
drop_T850,-T850,T_C,t_hold,0.51150488788284
drop_beta8,-β8,beta,t_hold,0.37919366540888
drop_beta5,-β5,beta,t_hold,0.59385410523352
drop_beta2,-β2,beta,t_hold,0.52180668054081
drop_thold20,-t20,t_hold,t_hold,0.29156619798358
drop_thold15,-t15,t_hold,t_hold,0.06310570855139
drop_thold10,-t10,t_hold,t_hold,0.6860715823943999
drop_precursor_S,-S,precursor,t_hold,3.58594205169128
drop_precursor_M,-M,precursor,t_hold,0.73630338573996
drop_precursor_L,-L,precursor,t_hold,0.08728821092219
baseline_81,"Base
(81)",baseline,coupling_total,2.78781409463022
drop_T950,-T950,T_C,coupling_total,1.82518277608482
drop_T900,-T900,T_C,coupling_total,3.11676283236336
drop_T850,-T850,T_C,coupling_total,3.4144955852483805
drop_beta8,-β8,beta,coupling_total,3.09194845548071
drop_beta5,-β5,beta,coupling_total,2.97651094258627
drop_beta2,-β2,beta,coupling_total,3.04211301796912
drop_thold20,-t20,t_hold,coupling_total,3.91212827869058
drop_thold15,-t15,t_hold,coupling_total,2.06664119218061
drop_thold10,-t10,t_hold,coupling_total,2.59950360778054
drop_precursor_S,-S,precursor,coupling_total,5.35051609301515
drop_precursor_M,-M,precursor,coupling_total,1.4474925649004
drop_precursor_L,-L,precursor,coupling_total,2.62711676786806
